date,commodity_id,region,cash_price_cad_mt
2025-01-02,WHEAT,Manitoba,298.37
2025-01-03,WHEAT,Manitoba,307.74
2025-01-06,WHEAT,Manitoba,306.89
2025-01-07,WHEAT,Manitoba,301.8
2025-01-08,WHEAT,Manitoba,299.04
2025-01-09,WHEAT,Manitoba,300.69
2025-01-10,WHEAT,Manitoba,291.55
2025-01-13,WHEAT,Manitoba,289.7
2025-01-14,WHEAT,Manitoba,285.32
2025-01-15,WHEAT,Manitoba,293.44
2025-01-16,WHEAT,Manitoba,297.26
2025-01-17,WHEAT,Manitoba,301.76
2025-01-20,WHEAT,Manitoba,307.89
2025-01-21,WHEAT,Manitoba,305.1
2025-01-22,WHEAT,Manitoba,306.92
2025-01-23,WHEAT,Manitoba,304.02
2025-01-24,WHEAT,Manitoba,298.34
2025-01-27,WHEAT,Manitoba,298.2
2025-01-28,WHEAT,Manitoba,295.78
2025-01-29,WHEAT,Manitoba,294.42
2025-01-30,WHEAT,Manitoba,293.69
2025-01-31,WHEAT,Manitoba,297.82
2025-02-03,WHEAT,Manitoba,295.03
2025-02-04,WHEAT,Manitoba,290.31
2025-02-05,WHEAT,Manitoba,293.02
2025-02-06,WHEAT,Manitoba,291.3
2025-02-07,WHEAT,Manitoba,282.45
2025-02-10,WHEAT,Manitoba,293.65
2025-02-11,WHEAT,Manitoba,298.47
2025-02-12,WHEAT,Manitoba,301.29
2025-02-13,WHEAT,Manitoba,301.98
2025-02-14,WHEAT,Manitoba,294.94
2025-02-17,WHEAT,Manitoba,286.81
2025-02-18,WHEAT,Manitoba,284.0
2025-02-19,WHEAT,Manitoba,295.18
2025-02-20,WHEAT,Manitoba,295.3
2025-02-21,WHEAT,Manitoba,301.11
2025-02-24,WHEAT,Manitoba,295.92
2025-02-25,WHEAT,Manitoba,293.4
2025-02-26,WHEAT,Manitoba,289.94
2025-02-27,WHEAT,Manitoba,295.36
2025-02-28,WHEAT,Manitoba,297.39
2025-03-03,WHEAT,Manitoba,294.02
2025-03-04,WHEAT,Manitoba,293.68
2025-03-05,WHEAT,Manitoba,295.81
2025-03-06,WHEAT,Manitoba,289.62
2025-03-07,WHEAT,Manitoba,285.84
2025-03-10,WHEAT,Manitoba,290.04
2025-03-11,WHEAT,Manitoba,291.24
2025-03-12,WHEAT,Manitoba,294.24
2025-03-13,WHEAT,Manitoba,294.05
2025-03-14,WHEAT,Manitoba,289.14
2025-03-17,WHEAT,Manitoba,295.17
2025-03-18,WHEAT,Manitoba,303.42
2025-03-19,WHEAT,Manitoba,291.94
2025-03-20,WHEAT,Manitoba,291.04
2025-03-21,WHEAT,Manitoba,293.18
2025-03-24,WHEAT,Manitoba,304.86
2025-03-25,WHEAT,Manitoba,305.36
2025-03-26,WHEAT,Manitoba,301.48
2025-03-27,WHEAT,Manitoba,303.19
2025-03-28,WHEAT,Manitoba,292.01
2025-03-31,WHEAT,Manitoba,308.93
2025-04-01,WHEAT,Manitoba,313.1
2025-04-02,WHEAT,Manitoba,301.31
2025-04-03,WHEAT,Manitoba,308.28
2025-04-04,WHEAT,Manitoba,303.77
2025-04-07,WHEAT,Manitoba,300.79
2025-04-08,WHEAT,Manitoba,304.79
2025-04-09,WHEAT,Manitoba,310.74
2025-04-10,WHEAT,Manitoba,312.37
2025-04-11,WHEAT,Manitoba,301.05
2025-04-14,WHEAT,Manitoba,310.93
2025-04-15,WHEAT,Manitoba,307.23
2025-04-16,WHEAT,Manitoba,314.35
2025-04-17,WHEAT,Manitoba,310.95
2025-04-18,WHEAT,Manitoba,304.08
2025-04-21,WHEAT,Manitoba,304.88
2025-04-22,WHEAT,Manitoba,316.06
2025-04-23,WHEAT,Manitoba,303.5
2025-04-24,WHEAT,Manitoba,294.95
2025-04-25,WHEAT,Manitoba,300.78
2025-04-28,WHEAT,Manitoba,295.73
2025-04-29,WHEAT,Manitoba,291.76
2025-04-30,WHEAT,Manitoba,297.44
2025-05-01,WHEAT,Manitoba,292.68
2025-05-02,WHEAT,Manitoba,292.82
2025-05-05,WHEAT,Manitoba,294.35
2025-05-06,WHEAT,Manitoba,297.04
2025-05-07,WHEAT,Manitoba,300.9
2025-05-08,WHEAT,Manitoba,291.05
2025-05-09,WHEAT,Manitoba,299.64
2025-05-12,WHEAT,Manitoba,292.45
2025-05-13,WHEAT,Manitoba,291.24
2025-05-14,WHEAT,Manitoba,297.24
