date,commodity_id,contract_month,futures_price_usd_mt
2025-01-02,WHEAT,2025-03,219.22
2025-01-03,WHEAT,2025-03,216.51
2025-01-06,WHEAT,2025-03,216.01
2025-01-07,WHEAT,2025-03,211.99
2025-01-08,WHEAT,2025-03,214.46
2025-01-09,WHEAT,2025-03,214.0
2025-01-10,WHEAT,2025-03,211.74
2025-01-13,WHEAT,2025-03,208.94
2025-01-14,WHEAT,2025-03,210.66
2025-01-15,WHEAT,2025-03,212.85
2025-01-16,WHEAT,2025-03,215.74
2025-01-17,WHEAT,2025-03,221.69
2025-01-20,WHEAT,2025-03,222.19
2025-01-21,WHEAT,2025-03,220.16
2025-01-22,WHEAT,2025-03,215.19
2025-01-23,WHEAT,2025-03,216.85
2025-01-24,WHEAT,2025-03,214.81
2025-01-27,WHEAT,2025-03,216.42
2025-01-28,WHEAT,2025-03,214.67
2025-01-29,WHEAT,2025-03,213.09
2025-01-30,WHEAT,2025-03,213.88
2025-01-31,WHEAT,2025-03,213.8
2025-02-03,WHEAT,2025-03,216.03
2025-02-04,WHEAT,2025-03,213.02
2025-02-05,WHEAT,2025-03,210.07
2025-02-06,WHEAT,2025-03,206.71
2025-02-07,WHEAT,2025-03,209.55
2025-02-10,WHEAT,2025-03,212.37
2025-02-11,WHEAT,2025-03,210.9
2025-02-12,WHEAT,2025-03,213.49
2025-02-13,WHEAT,2025-03,213.34
2025-02-14,WHEAT,2025-03,210.85
2025-02-17,WHEAT,2025-03,208.64
2025-02-18,WHEAT,2025-03,207.49
2025-02-19,WHEAT,2025-03,211.34
2025-02-20,WHEAT,2025-03,210.23
2025-02-21,WHEAT,2025-03,213.27
2025-02-24,WHEAT,2025-03,207.12
2025-02-25,WHEAT,2025-03,211.45
2025-02-26,WHEAT,2025-03,212.63
2025-02-27,WHEAT,2025-03,212.47
2025-02-28,WHEAT,2025-03,211.65
2025-03-03,WHEAT,2025-03,208.89
2025-03-04,WHEAT,2025-03,212.03
2025-03-05,WHEAT,2025-03,212.7
2025-03-06,WHEAT,2025-03,206.8
2025-03-07,WHEAT,2025-03,207.05
2025-03-10,WHEAT,2025-03,206.06
2025-03-11,WHEAT,2025-03,209.31
2025-03-12,WHEAT,2025-03,208.52
2025-03-13,WHEAT,2025-03,209.09
2025-03-14,WHEAT,2025-03,211.43
2025-03-17,WHEAT,2025-03,213.12
2025-03-18,WHEAT,2025-03,214.81
2025-03-19,WHEAT,2025-03,213.41
2025-03-20,WHEAT,2025-03,214.72
2025-03-21,WHEAT,2025-03,216.98
2025-03-24,WHEAT,2025-03,218.54
2025-03-25,WHEAT,2025-03,219.33
2025-03-26,WHEAT,2025-03,215.69
2025-03-27,WHEAT,2025-03,213.45
2025-03-28,WHEAT,2025-03,215.8
2025-03-31,WHEAT,2025-03,221.05
2025-04-01,WHEAT,2025-03,218.3
2025-04-02,WHEAT,2025-03,219.71
2025-04-03,WHEAT,2025-03,221.54
2025-04-04,WHEAT,2025-03,220.84
2025-04-07,WHEAT,2025-03,218.62
2025-04-08,WHEAT,2025-03,221.05
2025-04-09,WHEAT,2025-03,219.07
2025-04-10,WHEAT,2025-03,216.53
2025-04-11,WHEAT,2025-03,217.87
2025-04-14,WHEAT,2025-03,217.32
2025-04-15,WHEAT,2025-03,220.82
2025-04-16,WHEAT,2025-03,223.23
2025-04-17,WHEAT,2025-03,223.56
2025-04-18,WHEAT,2025-03,218.02
2025-04-21,WHEAT,2025-03,217.57
2025-04-22,WHEAT,2025-03,217.08
2025-04-23,WHEAT,2025-03,213.33
2025-04-24,WHEAT,2025-03,212.24
2025-04-25,WHEAT,2025-03,212.68
2025-04-28,WHEAT,2025-03,215.37
2025-04-29,WHEAT,2025-03,212.23
2025-04-30,WHEAT,2025-03,209.1
2025-05-01,WHEAT,2025-03,211.03
2025-05-02,WHEAT,2025-03,210.16
2025-05-05,WHEAT,2025-03,212.44
2025-05-06,WHEAT,2025-03,214.79
2025-05-07,WHEAT,2025-03,213.32
2025-05-08,WHEAT,2025-03,214.64
2025-05-09,WHEAT,2025-03,214.6
2025-05-12,WHEAT,2025-03,211.77
2025-05-13,WHEAT,2025-03,215.6
2025-05-14,WHEAT,2025-03,214.73
2025-05-15,WHEAT,2025-03,213.17
2025-05-16,WHEAT,2025-03,211.78
2025-05-19,WHEAT,2025-03,213.75
2025-05-20,WHEAT,2025-03,218.91
2025-05-21,WHEAT,2025-03,221.7
2025-05-22,WHEAT,2025-03,220.0
2025-05-23,WHEAT,2025-03,219.47
2025-05-26,WHEAT,2025-03,215.36
2025-05-27,WHEAT,2025-03,215.0
2025-05-28,WHEAT,2025-03,215.6
2025-05-29,WHEAT,2025-03,218.55
2025-05-30,WHEAT,2025-03,217.8
2025-06-02,WHEAT,2025-03,214.27
2025-06-03,WHEAT,2025-03,211.16
2025-06-04,WHEAT,2025-03,212.63
