date,commodity_id,commodity_name,contract_month,avg_cash_price_cad_mt,futures_price_cad_mt,usd_cad,basis_cad_mt,physical_quantity_mt,futures_quantity_mt,net_open_quantity_mt,physical_exposure_cad,futures_exposure_cad,net_open_exposure_cad,hedge_ratio,daily_pnl_cad,cumulative_pnl_cad,basis_risk_cad,margin_requirement_cad,var_95_cad,var_99_cad,stress_down_5pct_cad,stress_up_5pct_cad,physical_transaction_count,futures_position_count
2025-01-02,BARLEY,Feed Barley,2025-03,218.52,286.17,1.36,-67.66,925.0,-5900.0,-4975.0,202127.3,-1688410.08,-1486282.78,6.38,0.0,0.0,0.0,84680.48,0.0,0.0,76335.41,-76335.41,1.0,1.0
2025-01-03,BARLEY,Feed Barley,2025-03,215.78,286.05,1.36,-70.27,925.0,-5900.0,-4975.0,199598.35,-1687687.92,-1488089.57,6.38,-1806.79,-1806.79,0.0,88128.39,0.0,0.0,76400.46,-76400.46,1.0,1.0
2025-01-06,BARLEY,Feed Barley,2025-03,214.57,285.99,1.36,-71.42,5432.0,-5900.0,-468.0,1165555.1,-1687366.96,-521811.86,1.09,-798.29,-2605.08,0.0,76999.11,0.0,0.0,37746.14,-37746.14,2.0,1.0
2025-01-07,BARLEY,Feed Barley,2025-03,216.32,292.21,1.36,-75.89,5432.0,-5900.0,-468.0,1175061.1,-1724036.64,-548975.54,1.09,-27163.68,-29768.76,0.0,91053.94,0.0,0.0,39199.39,-39199.39,2.0,1.0
2025-01-08,BARLEY,Feed Barley,2025-03,220.64,291.71,1.36,-71.07,5432.0,-6200.0,-768.0,1198505.62,-1808579.68,-610074.06,1.14,26413.39,-3355.37,16173.04,87030.04,31275.91,44165.38,42488.76,-42488.76,2.0,2.0
2025-01-09,BARLEY,Feed Barley,2025-03,222.95,288.79,1.35,-65.84,6550.0,-6200.0,350.0,1460335.6,-1790510.4,-330174.8,0.95,30638.93,27283.56,22678.49,88381.34,35033.76,49471.92,31112.1,-31112.1,4.0,2.0
2025-01-10,BARLEY,Feed Barley,2025-03,215.62,285.92,1.35,-70.3,6550.0,-6200.0,350.0,1412284.8,-1772682.3,-360397.5,0.95,-30222.7,-2939.14,20703.0,89893.8,38639.35,54563.44,32142.72,-32142.72,4.0,2.0
2025-01-13,BARLEY,Feed Barley,2025-03,221.65,289.87,1.35,-68.23,6550.0,-6200.0,350.0,1451781.3,-1797206.4,-345425.1,0.95,14972.4,12033.26,19787.57,90437.85,36882.8,52082.99,31789.07,-31789.07,4.0,2.0
2025-01-14,BARLEY,Feed Barley,2025-03,220.92,290.68,1.35,-69.76,6550.0,-6200.0,350.0,1447026.0,-1802228.4,-355202.4,0.95,-9777.3,2255.96,18522.87,88847.55,35054.21,49500.8,32230.38,-32230.38,4.0,2.0
2025-01-15,BARLEY,Feed Barley,2025-03,218.86,292.6,1.35,-73.74,6072.0,-6200.0,-128.0,1328930.06,-1814113.8,-485183.74,1.02,-25365.3,-23109.34,17671.17,91391.19,35649.81,50341.86,37548.49,-37548.49,5.0,2.0
2025-01-16,BARLEY,Feed Barley,2025-03,225.35,294.04,1.35,-68.7,6072.0,-6200.0,-128.0,1368300.91,-1823069.7,-454768.79,1.02,30414.95,7305.61,17057.21,89709.66,37535.14,53004.17,36421.45,-36421.45,5.0,2.0
2025-01-17,BARLEY,Feed Barley,2025-03,228.54,297.81,1.36,-69.28,6072.0,-6200.0,-128.0,1387670.59,-1846439.36,-458768.77,1.02,-3999.98,3305.63,16354.53,94772.31,35857.24,50634.77,36815.14,-36815.14,5.0,2.0
2025-01-20,BARLEY,Feed Barley,2025-03,223.17,297.11,1.36,-73.94,6794.0,-6200.0,594.0,1516216.98,-1842054.72,-325837.74,0.91,-28197.71,-24892.08,18896.55,90385.98,36720.3,51853.51,31454.06,-31454.06,6.0,2.0
2025-01-21,BARLEY,Feed Barley,2025-03,226.86,299.55,1.36,-72.69,7146.0,-6200.0,946.0,1621170.14,-1857232.32,-236062.18,0.87,9919.44,-14972.65,19561.79,95493.24,35663.61,50361.34,28014.81,-28014.81,7.0,2.0
2025-01-22,BARLEY,Feed Barley,2025-03,229.7,306.72,1.36,-77.02,7146.0,-6200.0,946.0,1641421.91,-1901668.96,-260247.05,0.87,-24184.88,-39157.52,22240.26,91727.51,35749.45,50482.55,29426.57,-29426.57,7.0,2.0
2025-01-23,BARLEY,Feed Barley,2025-03,235.02,308.01,1.36,-73.0,7146.0,-6200.0,946.0,1679424.34,-1909679.36,-230255.02,0.87,29992.03,-9165.5,21765.08,82141.17,37063.25,52337.81,28306.99,-28306.99,7.0,2.0
2025-01-24,BARLEY,Feed Barley,2025-03,232.59,310.54,1.36,-77.95,7146.0,-6200.0,946.0,1662073.85,-1925362.88,-263289.03,0.87,-33034.01,-42199.5,24128.96,97783.37,38165.18,53893.86,29785.19,-29785.19,7.0,2.0
2025-01-27,BARLEY,Feed Barley,2025-03,233.67,308.28,1.36,-74.61,7146.0,-6200.0,946.0,1669820.11,-1911365.76,-241545.65,0.87,21743.38,-20456.12,23961.96,86502.2,38205.58,53950.9,28775.48,-28775.48,7.0,2.0
2025-01-28,BARLEY,Feed Barley,2025-03,238.68,312.35,1.36,-73.67,7146.0,-6200.0,946.0,1705621.57,-1936577.44,-230955.87,0.87,10589.78,-9866.34,23500.24,93832.14,37393.53,52804.2,28604.01,-28604.01,7.0,2.0
2025-01-29,BARLEY,Feed Barley,2025-03,237.49,309.4,1.36,-71.91,7146.0,-6200.0,946.0,1697103.54,-1918280.0,-221176.46,0.87,9779.41,-86.93,22873.7,88631.28,36594.0,51675.16,28029.86,-28029.86,7.0,2.0
2025-01-30,BARLEY,Feed Barley,2025-03,233.24,310.83,1.36,-77.59,7146.0,-100.0,7046.0,1666747.33,-31082.8,1635664.53,0.01,-39209.81,-39296.74,23479.18,183099.67,39349.1,55565.7,-65115.75,65115.75,7.0,3.0
2025-01-31,BARLEY,Feed Barley,2025-03,231.1,307.47,1.36,-76.37,7251.0,-100.0,7151.0,1675691.6,-30746.88,1644944.72,0.01,-14985.1,-54281.84,24400.75,170806.26,39640.83,55977.66,-65490.32,65490.32,9.0,3.0
2025-02-03,BARLEY,Feed Barley,2025-03,229.83,304.6,1.36,-74.77,7251.0,-100.0,7151.0,1666497.33,-30459.92,1636037.41,0.01,-8907.31,-63189.15,24538.45,180040.12,39700.18,56061.47,-65136.9,65136.9,9.0,3.0
2025-02-04,BARLEY,Feed Barley,2025-03,228.23,301.21,1.36,-72.99,7251.0,-100.0,7151.0,1654866.73,-30121.28,1624745.45,0.01,-11291.96,-74481.12,23977.88,173865.81,38737.84,54702.52,-64688.61,64688.61,9.0,3.0
2025-02-05,BARLEY,Feed Barley,2025-03,228.62,301.58,1.36,-72.96,2703.0,-5700.0,-2997.0,617959.86,-1719006.0,-1101046.14,2.11,2820.17,-71660.94,8880.93,271756.94,37184.51,52509.03,61231.91,-61231.91,8.0,4.0
2025-02-06,BARLEY,Feed Barley,2025-03,231.03,305.39,1.36,-74.35,2703.0,-5700.0,-2997.0,624484.9,-1740711.6,-1116226.7,2.11,-15180.56,-86841.5,7746.37,260096.16,34947.24,49349.74,62056.18,-62056.18,8.0,4.0
2025-02-07,BARLEY,Feed Barley,2025-03,232.25,307.81,1.36,-75.55,2703.0,-5700.0,-2997.0,627782.56,-1754510.16,-1126727.6,2.11,-10500.9,-97342.4,7642.75,265181.63,33700.03,47588.52,62614.21,-62614.21,8.0,4.0
2025-02-10,BARLEY,Feed Barley,2025-03,229.53,305.01,1.36,-75.47,2703.0,-5700.0,-2997.0,620430.4,-1738541.04,-1118110.64,2.11,8616.96,-88725.44,6961.44,233485.74,33246.4,46947.95,62109.84,-62109.84,8.0,4.0
2025-02-11,BARLEY,Feed Barley,2025-03,230.35,302.67,1.36,-72.32,-1075.0,-5700.0,-6775.0,-247624.1,-1725207.6,-1972831.7,5.3,15533.68,-73191.76,2604.19,254738.05,34031.66,48056.83,96165.34,-96165.34,10.0,4.0
2025-02-12,BARLEY,Feed Barley,2025-03,228.2,306.54,1.36,-78.34,-7254.0,-5700.0,-12954.0,-1655391.82,-1747300.8,-3402692.62,0.79,-19788.4,-92980.16,18954.57,259808.91,33583.88,47424.52,153580.71,-153580.71,11.0,4.0
2025-02-13,BARLEY,Feed Barley,2025-03,234.07,312.37,1.37,-78.3,-7254.0,-5700.0,-12954.0,-1697943.78,-1780530.09,-3478473.87,0.79,-75781.25,-168761.41,17625.72,259794.21,40386.73,57030.96,156944.26,-156944.26,11.0,4.0
2025-02-14,BARLEY,Feed Barley,2025-03,234.29,311.41,1.37,-77.12,-7254.0,-5700.0,-12954.0,-1699539.66,-1775063.79,-3474603.45,0.79,3870.42,-164890.99,15458.04,267391.44,40624.55,57366.78,156734.78,-156734.78,11.0,4.0
2025-02-17,BARLEY,Feed Barley,2025-03,234.6,307.97,1.36,-73.37,-7606.0,-10300.0,-17906.0,-1784398.02,-3172111.6,-4956509.62,1.35,17345.63,-147545.36,16354.7,316596.78,40919.89,57783.84,229981.5,-229981.5,10.0,5.0
2025-02-18,BARLEY,Feed Barley,2025-03,238.42,313.83,1.36,-75.41,-7606.0,-10300.0,-17906.0,-1813422.52,-3232486.08,-5045908.6,1.35,-89398.98,-236944.33,15821.2,321927.3,50599.51,71452.64,234161.2,-234161.2,10.0,5.0
2025-02-19,BARLEY,Feed Barley,2025-03,236.29,312.46,1.36,-76.17,-7606.0,-10300.0,-17906.0,-1797191.32,-3218338.0,-5015529.32,1.35,30379.28,-206565.05,15580.03,336480.66,52544.82,74199.66,232804.55,-232804.55,10.0,5.0
2025-02-20,BARLEY,Feed Barley,2025-03,235.25,310.37,1.37,-75.12,-7606.0,-10300.0,-17906.0,-1789311.5,-3196847.05,-4986158.55,1.35,29370.77,-177194.28,15113.75,294162.98,52480.29,74108.53,231414.81,-231414.81,10.0,5.0
2025-02-21,BARLEY,Feed Barley,2025-03,241.43,316.73,1.37,-75.3,-10605.0,-10300.0,-20905.0,-2560322.73,-3262322.09,-5822644.82,0.97,-112449.7,-289643.98,19943.12,331291.69,64601.16,91224.67,265529.01,-265529.01,12.0,5.0
2025-02-24,BARLEY,Feed Barley,2025-03,241.76,315.42,1.36,-73.66,-11530.0,-10300.0,-21830.0,-2787538.92,-3248875.44,-6036414.36,0.89,9862.16,-279781.82,21965.05,317009.88,63846.42,90158.89,273945.33,-273945.33,11.0,5.0
