position_id,trade_date,contract_month,commodity_id,hedge_type,exchange,buy_sell,contracts,contract_size_mt,futures_price_usd_mt,broker,initial_margin_usd_per_contract,status
FUT0001,2025-04-10,2025-07,CANOLA,Forward sale hedge,ICE,Sell,3,20.0,419.25,RBC Clearing,1377.62,Open
FUT0002,2025-03-18,2025-07,SOY,Forward sale hedge,CME,Buy,24,136.08,372.81,RBC Clearing,2187.01,Open
FUT0003,2025-05-01,2025-07,BARLEY,Inventory hedge,ICE,Buy,13,100.0,232.84,TD Securities,1071.69,Open
FUT0004,2025-02-05,2025-09,CORN,Inventory hedge,CME,Sell,6,127.01,190.99,CIBC World Markets,1754.83,Open
FUT0005,2025-05-02,2025-05,WHEAT,Basis hedge,CME,Buy,43,136.08,212.98,CIBC World Markets,2070.3,Closed
FUT0006,2025-03-25,2025-09,CANOLA,Basis hedge,ICE,Sell,39,20.0,411.59,CIBC World Markets,1356.32,Open
FUT0007,2025-01-10,2025-09,CANOLA,Inventory hedge,ICE,Sell,26,20.0,495.03,BMO Capital Markets,1386.5,Open
FUT0008,2025-05-21,2025-07,BARLEY,Forward sale hedge,ICE,Sell,67,100.0,247.85,BMO Capital Markets,1067.68,Open
FUT0009,2025-03-21,2025-03,WHEAT,Forward sale hedge,CME,Sell,5,136.08,216.98,TD Securities,2183.04,Closed
FUT0010,2025-01-02,2025-03,BARLEY,Inventory hedge,ICE,Sell,59,100.0,210.42,CIBC World Markets,1055.34,Closed
FUT0011,2025-04-02,2025-09,CORN,Forward sale hedge,CME,Buy,23,127.01,208.99,BMO Capital Markets,1790.61,Open
FUT0012,2025-02-06,2025-09,CANOLA,Inventory hedge,ICE,Sell,26,20.0,470.08,TD Securities,1409.19,Open
FUT0013,2025-03-21,2025-07,SOY,Forward sale hedge,CME,Sell,43,136.08,371.95,RBC Clearing,2406.47,Open
FUT0014,2025-03-27,2025-09,SOY,Forward sale hedge,CME,Buy,74,136.08,373.27,RBC Clearing,2324.71,Open
FUT0015,2025-01-17,2025-07,CORN,Basis hedge,CME,Buy,55,127.01,183.95,TD Securities,1843.17,Open
FUT0016,2025-03-05,2025-03,CANOLA,Basis hedge,ICE,Sell,4,20.0,426.74,RBC Clearing,1270.69,Closed
FUT0017,2025-04-16,2025-09,BARLEY,Forward sale hedge,ICE,Buy,45,100.0,239.29,TD Securities,987.25,Open
FUT0018,2025-01-08,2025-03,BARLEY,Basis hedge,ICE,Sell,3,100.0,214.49,BMO Capital Markets,1032.14,Closed
FUT0019,2025-02-05,2025-03,BARLEY,Inventory hedge,ICE,Sell,56,100.0,221.75,RBC Clearing,1116.32,Closed
FUT0020,2025-02-10,2025-03,WHEAT,Inventory hedge,CME,Buy,22,136.08,212.37,CIBC World Markets,2092.99,Closed
FUT0021,2025-05-28,2025-07,BARLEY,Basis hedge,ICE,Sell,64,100.0,251.22,CIBC World Markets,1041.14,Open
FUT0022,2025-03-25,2025-07,BARLEY,Forward sale hedge,ICE,Sell,26,100.0,240.44,TD Securities,1042.83,Open
FUT0023,2025-04-09,2025-09,CANOLA,Basis hedge,ICE,Sell,18,20.0,421.54,CIBC World Markets,1366.39,Open
FUT0024,2025-01-23,2025-07,CANOLA,Inventory hedge,ICE,Sell,36,20.0,479.63,CIBC World Markets,1402.96,Open
FUT0025,2025-05-13,2025-05,BARLEY,Basis hedge,ICE,Buy,71,100.0,238.41,RBC Clearing,1032.22,Closed
