date,commodity_id,exchange,initial_margin_usd_per_contract,maintenance_margin_usd_per_contract
2025-01-02,WHEAT,CME,2099.26,1721.39
2025-01-03,WHEAT,CME,2143.11,1757.35
2025-01-06,WHEAT,CME,2064.82,1693.15
2025-01-07,WHEAT,CME,2287.3,1875.58
2025-01-08,WHEAT,CME,1968.29,1614.0
2025-01-09,WHEAT,CME,2205.92,1808.85
2025-01-10,WHEAT,CME,2214.9,1816.22
2025-01-13,WHEAT,CME,2028.42,1663.3
2025-01-14,WHEAT,CME,2287.26,1875.55
2025-01-15,WHEAT,CME,2183.62,1790.57
2025-01-16,WHEAT,CME,2181.58,1788.89
2025-01-17,WHEAT,CME,2102.35,1723.93
2025-01-20,WHEAT,CME,2081.75,1707.04
2025-01-21,WHEAT,CME,2082.41,1707.58
2025-01-22,WHEAT,CME,2132.8,1748.9
2025-01-23,WHEAT,CME,2217.7,1818.51
2025-01-24,WHEAT,CME,2115.23,1734.49
2025-01-27,WHEAT,CME,2023.44,1659.22
2025-01-28,WHEAT,CME,2169.25,1778.79
2025-01-29,WHEAT,CME,2177.38,1785.45
2025-01-30,WHEAT,CME,2154.99,1767.09
2025-01-31,WHEAT,CME,2162.62,1773.35
2025-02-03,WHEAT,CME,2077.24,1703.34
2025-02-04,WHEAT,CME,2021.96,1658.01
2025-02-05,WHEAT,CME,2027.07,1662.2
2025-02-06,WHEAT,CME,1962.62,1609.35
2025-02-07,WHEAT,CME,2119.9,1738.32
2025-02-10,WHEAT,CME,2092.99,1716.25
2025-02-11,WHEAT,CME,2063.04,1691.69
2025-02-12,WHEAT,CME,1851.73,1518.42
2025-02-13,WHEAT,CME,1995.23,1636.08
2025-02-14,WHEAT,CME,2194.15,1799.2
2025-02-17,WHEAT,CME,2044.17,1676.22
2025-02-18,WHEAT,CME,2130.29,1746.84
2025-02-19,WHEAT,CME,1983.18,1626.21
2025-02-20,WHEAT,CME,2220.85,1821.1
2025-02-21,WHEAT,CME,2087.9,1712.08
2025-02-24,WHEAT,CME,2124.36,1741.98
2025-02-25,WHEAT,CME,2295.37,1882.2
2025-02-26,WHEAT,CME,2227.38,1826.45
2025-02-27,WHEAT,CME,2074.25,1700.88
2025-02-28,WHEAT,CME,2050.17,1681.14
2025-03-03,WHEAT,CME,2072.65,1699.58
2025-03-04,WHEAT,CME,2142.83,1757.12
2025-03-05,WHEAT,CME,2091.16,1714.75
2025-03-06,WHEAT,CME,2066.8,1694.78
2025-03-07,WHEAT,CME,2223.24,1823.06
2025-03-10,WHEAT,CME,2090.41,1714.13
2025-03-11,WHEAT,CME,2293.17,1880.4
2025-03-12,WHEAT,CME,2107.62,1728.25
2025-03-13,WHEAT,CME,2249.97,1844.97
2025-03-14,WHEAT,CME,2130.01,1746.61
2025-03-17,WHEAT,CME,2180.89,1788.33
2025-03-18,WHEAT,CME,2039.13,1672.09
2025-03-19,WHEAT,CME,2028.28,1663.19
2025-03-20,WHEAT,CME,2138.62,1753.66
2025-03-21,WHEAT,CME,2183.04,1790.09
2025-03-24,WHEAT,CME,2103.38,1724.77
2025-03-25,WHEAT,CME,1991.94,1633.39
2025-03-26,WHEAT,CME,1985.74,1628.31
2025-03-27,WHEAT,CME,1980.12,1623.7
2025-03-28,WHEAT,CME,1951.52,1600.25
2025-03-31,WHEAT,CME,2109.2,1729.54
2025-04-01,WHEAT,CME,2194.5,1799.49
2025-04-02,WHEAT,CME,2098.87,1721.08
2025-04-03,WHEAT,CME,1910.13,1566.3
2025-04-04,WHEAT,CME,2083.98,1708.86
2025-04-07,WHEAT,CME,2086.32,1710.79
2025-04-08,WHEAT,CME,2276.06,1866.37
2025-04-09,WHEAT,CME,1977.6,1621.63
2025-04-10,WHEAT,CME,2067.18,1695.09
2025-04-11,WHEAT,CME,2243.29,1839.5
2025-04-14,WHEAT,CME,2137.8,1752.99
2025-04-15,WHEAT,CME,2147.32,1760.8
2025-04-16,WHEAT,CME,2109.63,1729.89
2025-04-17,WHEAT,CME,2127.72,1744.73
2025-04-18,WHEAT,CME,2165.32,1775.56
2025-04-21,WHEAT,CME,2032.0,1666.24
2025-04-22,WHEAT,CME,2173.76,1782.48
2025-04-23,WHEAT,CME,1984.67,1627.43
2025-04-24,WHEAT,CME,2127.58,1744.62
2025-04-25,WHEAT,CME,2115.01,1734.31
2025-04-28,WHEAT,CME,2048.23,1679.55
2025-04-29,WHEAT,CME,2098.09,1720.44
2025-04-30,WHEAT,CME,2047.71,1679.12
2025-05-01,WHEAT,CME,2009.98,1648.18
2025-05-02,WHEAT,CME,2070.3,1697.64
2025-05-05,WHEAT,CME,2007.26,1645.96
2025-05-06,WHEAT,CME,2127.11,1744.23
2025-05-07,WHEAT,CME,2003.39,1642.78
2025-05-08,WHEAT,CME,2159.81,1771.04
2025-05-09,WHEAT,CME,2000.76,1640.62
2025-05-12,WHEAT,CME,2052.43,1682.99
2025-05-13,WHEAT,CME,2047.53,1678.98
2025-05-14,WHEAT,CME,2211.31,1813.28
2025-05-15,WHEAT,CME,2127.74,1744.75
2025-05-16,WHEAT,CME,2082.21,1707.42
2025-05-19,WHEAT,CME,2141.89,1756.35
2025-05-20,WHEAT,CME,1923.0,1576.86
2025-05-21,WHEAT,CME,2096.38,1719.03
2025-05-22,WHEAT,CME,2267.79,1859.59
2025-05-23,WHEAT,CME,2111.12,1731.12
2025-05-26,WHEAT,CME,2105.7,1726.68
2025-05-27,WHEAT,CME,2146.04,1759.76
2025-05-28,WHEAT,CME,2175.23,1783.69
2025-05-29,WHEAT,CME,1932.21,1584.41
2025-05-30,WHEAT,CME,1958.68,1606.12
2025-06-02,WHEAT,CME,2117.66,1736.48
2025-06-03,WHEAT,CME,2039.95,1672.76
2025-06-04,WHEAT,CME,2210.21,1812.37
2025-06-05,WHEAT,CME,2073.53,1700.29
2025-06-06,WHEAT,CME,1937.5,1588.75
2025-06-09,WHEAT,CME,1993.49,1634.66
2025-06-10,WHEAT,CME,1869.03,1532.6
2025-06-11,WHEAT,CME,2080.33,1705.87
2025-06-12,WHEAT,CME,2084.18,1709.02
2025-06-13,WHEAT,CME,2064.35,1692.76
2025-06-16,WHEAT,CME,2190.63,1796.31
2025-06-17,WHEAT,CME,2200.68,1804.55
2025-06-18,WHEAT,CME,2085.69,1710.26
2025-06-19,WHEAT,CME,1920.69,1574.96
2025-06-20,WHEAT,CME,2151.85,1764.52
2025-06-23,WHEAT,CME,2146.65,1760.25
2025-06-24,WHEAT,CME,2125.99,1743.31
2025-06-25,WHEAT,CME,2182.44,1789.6
2025-06-26,WHEAT,CME,2002.15,1641.77
2025-06-27,WHEAT,CME,2268.74,1860.36
2025-06-30,WHEAT,CME,2019.41,1655.91
2025-01-02,CANOLA,ICE,1271.03,1042.24
2025-01-03,CANOLA,ICE,1392.11,1141.53
2025-01-06,CANOLA,ICE,1390.66,1140.34
2025-01-07,CANOLA,ICE,1395.53,1144.34
2025-01-08,CANOLA,ICE,1266.8,1038.78
2025-01-09,CANOLA,ICE,1366.14,1120.24
2025-01-10,CANOLA,ICE,1386.5,1136.93
2025-01-13,CANOLA,ICE,1294.32,1061.34
2025-01-14,CANOLA,ICE,1350.5,1107.41
2025-01-15,CANOLA,ICE,1343.72,1101.85
2025-01-16,CANOLA,ICE,1449.48,1188.57
2025-01-17,CANOLA,ICE,1453.92,1192.22
2025-01-20,CANOLA,ICE,1260.12,1033.3
2025-01-21,CANOLA,ICE,1484.67,1217.43
2025-01-22,CANOLA,ICE,1300.58,1066.47
2025-01-23,CANOLA,ICE,1402.96,1150.42
2025-01-24,CANOLA,ICE,1402.41,1149.97
2025-01-27,CANOLA,ICE,1296.23,1062.91
2025-01-28,CANOLA,ICE,1376.64,1128.84
2025-01-29,CANOLA,ICE,1344.19,1102.24
2025-01-30,CANOLA,ICE,1379.93,1131.55
2025-01-31,CANOLA,ICE,1362.46,1117.21
2025-02-03,CANOLA,ICE,1414.6,1159.97
2025-02-04,CANOLA,ICE,1354.07,1110.34
2025-02-05,CANOLA,ICE,1340.93,1099.57
2025-02-06,CANOLA,ICE,1409.19,1155.53
2025-02-07,CANOLA,ICE,1381.34,1132.7
2025-02-10,CANOLA,ICE,1389.52,1139.4
2025-02-11,CANOLA,ICE,1314.11,1077.57
2025-02-12,CANOLA,ICE,1293.56,1060.72
2025-02-13,CANOLA,ICE,1319.34,1081.86
2025-02-14,CANOLA,ICE,1316.48,1079.51
