date,commodity_id,commodity_name,metric,value,threshold,severity,explanation
2025-01-02,BARLEY,Feed Barley,Hedge ratio above target,6.38,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-01-03,BARLEY,Feed Barley,Hedge ratio above target,6.38,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-01-30,BARLEY,Feed Barley,Hedge ratio below target,0.01,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-30,BARLEY,Feed Barley,Large net open exposure,1635664.53,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-31,BARLEY,Feed Barley,Hedge ratio below target,0.01,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-31,BARLEY,Feed Barley,Large net open exposure,1644944.72,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-03,BARLEY,Feed Barley,Hedge ratio below target,0.01,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-03,BARLEY,Feed Barley,Large net open exposure,1636037.41,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-04,BARLEY,Feed Barley,Hedge ratio below target,0.01,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-04,BARLEY,Feed Barley,Large net open exposure,1624745.45,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-05,BARLEY,Feed Barley,Hedge ratio above target,2.11,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-02-06,BARLEY,Feed Barley,Hedge ratio above target,2.11,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-02-07,BARLEY,Feed Barley,Hedge ratio above target,2.11,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-02-10,BARLEY,Feed Barley,Hedge ratio above target,2.11,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-02-11,BARLEY,Feed Barley,Hedge ratio above target,5.3,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-02-11,BARLEY,Feed Barley,Large net open exposure,-1972831.7,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-12,BARLEY,Feed Barley,Large net open exposure,-3402692.62,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-13,BARLEY,Feed Barley,Large net open exposure,-3478473.87,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-14,BARLEY,Feed Barley,Large net open exposure,-3474603.45,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-17,BARLEY,Feed Barley,Hedge ratio above target,1.35,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-02-17,BARLEY,Feed Barley,Large net open exposure,-4956509.62,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-18,BARLEY,Feed Barley,Hedge ratio above target,1.35,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-02-18,BARLEY,Feed Barley,Large net open exposure,-5045908.6,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-19,BARLEY,Feed Barley,Hedge ratio above target,1.35,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-02-19,BARLEY,Feed Barley,Large net open exposure,-5015529.32,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-20,BARLEY,Feed Barley,Hedge ratio above target,1.35,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-02-20,BARLEY,Feed Barley,Large net open exposure,-4986158.55,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-21,BARLEY,Feed Barley,Large net open exposure,-5822644.82,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-24,BARLEY,Feed Barley,Large net open exposure,-6036414.36,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-25,BARLEY,Feed Barley,Large net open exposure,-6038983.38,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-26,BARLEY,Feed Barley,Hedge ratio below target,0.64,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-26,BARLEY,Feed Barley,Large net open exposure,-7131942.59,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-27,BARLEY,Feed Barley,Large net open exposure,-6515849.12,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-28,BARLEY,Feed Barley,Large net open exposure,-6421108.65,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-03,BARLEY,Feed Barley,Hedge ratio below target,0.72,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-03-03,BARLEY,Feed Barley,Large net open exposure,-6610844.02,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-04,BARLEY,Feed Barley,Hedge ratio below target,0.61,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-03-04,BARLEY,Feed Barley,Large net open exposure,-6168978.84,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-05,BARLEY,Feed Barley,Hedge ratio below target,0.71,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-03-05,BARLEY,Feed Barley,Large net open exposure,-7317329.79,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-06,BARLEY,Feed Barley,Large net open exposure,-6185243.01,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-07,BARLEY,Feed Barley,Large net open exposure,-6084452.83,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-10,BARLEY,Feed Barley,Large net open exposure,-6106731.46,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-11,BARLEY,Feed Barley,Hedge ratio above target,1.26,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-11,BARLEY,Feed Barley,Large net open exposure,-6878493.87,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-12,BARLEY,Feed Barley,Hedge ratio above target,1.26,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-12,BARLEY,Feed Barley,Large net open exposure,-6876306.15,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-13,BARLEY,Feed Barley,Hedge ratio above target,1.26,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-13,BARLEY,Feed Barley,Large net open exposure,-6970357.77,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-14,BARLEY,Feed Barley,Hedge ratio above target,1.65,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-14,BARLEY,Feed Barley,Large net open exposure,-6394934.06,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-17,BARLEY,Feed Barley,Hedge ratio above target,2.49,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-17,BARLEY,Feed Barley,Large net open exposure,-5699418.74,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-18,BARLEY,Feed Barley,Hedge ratio above target,2.02,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-18,BARLEY,Feed Barley,Large net open exposure,-6067266.68,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-19,BARLEY,Feed Barley,Hedge ratio above target,2.02,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-19,BARLEY,Feed Barley,Large net open exposure,-6167639.3,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-20,BARLEY,Feed Barley,Hedge ratio above target,1.72,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-20,BARLEY,Feed Barley,Large net open exposure,-6328040.94,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-21,BARLEY,Feed Barley,Hedge ratio above target,1.72,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-21,BARLEY,Feed Barley,Large net open exposure,-6462725.4,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-24,BARLEY,Feed Barley,Hedge ratio above target,1.72,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-24,BARLEY,Feed Barley,Large net open exposure,-6356109.45,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-25,BARLEY,Feed Barley,Hedge ratio above target,2.04,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-25,BARLEY,Feed Barley,Large net open exposure,-7278515.88,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-26,BARLEY,Feed Barley,Hedge ratio above target,2.04,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-26,BARLEY,Feed Barley,Large net open exposure,-7266901.77,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-27,BARLEY,Feed Barley,Hedge ratio above target,2.04,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-27,BARLEY,Feed Barley,Large net open exposure,-7269623.91,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-28,BARLEY,Feed Barley,Hedge ratio above target,2.04,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
