afe_id,well_id,budget_category,budget_cad,planned_days
AFE0001,WELL001,Rig,1602273.75,42
AFE0001,WELL001,Directional,674641.58,42
AFE0001,WELL001,Fluids,590311.38,42
AFE0001,WELL001,Cementing,421650.99,42
AFE0001,WELL001,Rentals,674641.58,42
AFE0001,WELL001,HSE,252990.59,42
AFE0002,WELL002,Rig,1449794.46,43
AFE0002,WELL002,Directional,610439.77,43
AFE0002,WELL002,Fluids,534134.8,43
AFE0002,WELL002,Cementing,381524.86,43
AFE0002,WELL002,Rentals,610439.77,43
AFE0002,WELL002,HSE,228914.91,43
AFE0003,WELL003,Rig,1898075.54,48
AFE0003,WELL003,Directional,799189.7,48
AFE0003,WELL003,Fluids,699290.99,48
AFE0003,WELL003,Cementing,499493.56,48
AFE0003,WELL003,Rentals,799189.7,48
AFE0003,WELL003,HSE,299696.14,48
AFE0004,WELL004,Rig,1278040.56,41
AFE0004,WELL004,Directional,538122.34,41
AFE0004,WELL004,Fluids,470857.05,41
AFE0004,WELL004,Cementing,336326.46,41
AFE0004,WELL004,Rentals,538122.34,41
AFE0004,WELL004,HSE,201795.88,41
AFE0005,WELL005,Rig,2001253.39,47
AFE0005,WELL005,Directional,842633.0,47
AFE0005,WELL005,Fluids,737303.88,47
AFE0005,WELL005,Cementing,526645.63,47
AFE0005,WELL005,Rentals,842633.0,47
AFE0005,WELL005,HSE,315987.38,47
AFE0006,WELL006,Rig,1251718.71,40
AFE0006,WELL006,Directional,527039.46,40
AFE0006,WELL006,Fluids,461159.52,40
AFE0006,WELL006,Cementing,329399.66,40
AFE0006,WELL006,Rentals,527039.46,40
AFE0006,WELL006,HSE,197639.8,40
AFE0007,WELL007,Rig,1945911.93,47
AFE0007,WELL007,Directional,819331.34,47
AFE0007,WELL007,Fluids,716914.92,47
AFE0007,WELL007,Cementing,512082.09,47
AFE0007,WELL007,Rentals,819331.34,47
AFE0007,WELL007,HSE,307249.25,47
AFE0008,WELL008,Rig,1524013.92,45
AFE0008,WELL008,Directional,641690.07,45
AFE0008,WELL008,Fluids,561478.81,45
AFE0008,WELL008,Cementing,401056.29,45
AFE0008,WELL008,Rentals,641690.07,45
AFE0008,WELL008,HSE,240633.78,45
