cost_id,date,job_id,contractor_id,cost_category,actual_cost_cad
COST00001,2025-01-07,JOB0001,CON004,Rig,33498.44
COST00002,2025-01-07,JOB0001,CON006,Directional,14669.18
COST00003,2025-01-07,JOB0001,CON005,Fluids,10300.95
COST00004,2025-01-07,JOB0001,CON002,Cementing,5021.28
COST00005,2025-01-07,JOB0001,CON004,Rentals,9629.55
COST00006,2025-01-07,JOB0001,CON003,HSE,3163.15
COST00007,2025-01-08,JOB0001,CON003,Rig,26461.11
COST00008,2025-01-08,JOB0001,CON002,Directional,11970.8
COST00009,2025-01-08,JOB0001,CON003,Fluids,7351.14
COST00010,2025-01-08,JOB0001,CON003,Cementing,4426.66
COST00011,2025-01-08,JOB0001,CON006,Rentals,6690.44
COST00012,2025-01-08,JOB0001,CON001,HSE,4328.83
COST00013,2025-01-09,JOB0001,CON001,Rig,29988.06
COST00014,2025-01-09,JOB0001,CON003,Directional,12648.6
COST00015,2025-01-09,JOB0001,CON006,Fluids,8075.76
COST00016,2025-01-09,JOB0001,CON002,Cementing,4027.79
COST00017,2025-01-09,JOB0001,CON005,Rentals,7282.95
COST00018,2025-01-09,JOB0001,CON001,HSE,3877.32
COST00019,2025-01-10,JOB0001,CON004,Rig,20524.48
COST00020,2025-01-10,JOB0001,CON004,Directional,9739.19
COST00021,2025-01-10,JOB0001,CON004,Fluids,6724.35
COST00022,2025-01-10,JOB0001,CON005,Cementing,5280.51
COST00023,2025-01-10,JOB0001,CON003,Rentals,7251.96
COST00024,2025-01-10,JOB0001,CON004,HSE,4275.59
COST00025,2025-01-11,JOB0001,CON001,Rig,34210.24
COST00026,2025-01-11,JOB0001,CON006,Directional,11690.6
COST00027,2025-01-11,JOB0001,CON001,Fluids,11962.28
COST00028,2025-01-11,JOB0001,CON003,Cementing,5479.1
COST00029,2025-01-11,JOB0001,CON003,Rentals,8736.32
COST00030,2025-01-11,JOB0001,CON006,HSE,5017.85
COST00031,2025-01-12,JOB0001,CON003,Rig,30893.71
COST00032,2025-01-12,JOB0001,CON001,Directional,10719.97
COST00033,2025-01-12,JOB0001,CON006,Fluids,6696.45
COST00034,2025-01-12,JOB0001,CON005,Cementing,5451.31
COST00035,2025-01-12,JOB0001,CON001,Rentals,6952.35
COST00036,2025-01-12,JOB0001,CON002,HSE,3406.9
COST00037,2025-01-13,JOB0001,CON004,Rig,32837.3
COST00038,2025-01-13,JOB0001,CON001,Directional,16457.6
COST00039,2025-01-13,JOB0001,CON004,Fluids,12839.96
COST00040,2025-01-13,JOB0001,CON006,Cementing,6256.46
COST00041,2025-01-13,JOB0001,CON005,Rentals,9757.77
COST00042,2025-01-13,JOB0001,CON006,HSE,4688.56
COST00043,2025-01-14,JOB0001,CON004,Rig,23492.9
COST00044,2025-01-14,JOB0001,CON004,Directional,14083.07
COST00045,2025-01-14,JOB0001,CON004,Fluids,9212.77
COST00046,2025-01-14,JOB0001,CON001,Cementing,4214.03
COST00047,2025-01-14,JOB0001,CON001,Rentals,8601.48
COST00048,2025-01-14,JOB0001,CON006,HSE,4640.18
COST00049,2025-01-15,JOB0001,CON001,Rig,20768.57
COST00050,2025-01-15,JOB0001,CON004,Directional,9555.95
COST00051,2025-01-15,JOB0001,CON006,Fluids,10004.91
COST00052,2025-01-15,JOB0001,CON003,Cementing,4570.39
COST00053,2025-01-15,JOB0001,CON002,Rentals,8398.3
COST00054,2025-01-15,JOB0001,CON001,HSE,4324.26
COST00055,2025-01-16,JOB0001,CON001,Rig,34854.07
COST00056,2025-01-16,JOB0001,CON005,Directional,12118.48
COST00057,2025-01-16,JOB0001,CON001,Fluids,10277.75
COST00058,2025-01-16,JOB0001,CON006,Cementing,6436.03
COST00059,2025-01-16,JOB0001,CON005,Rentals,9689.9
COST00060,2025-01-16,JOB0001,CON004,HSE,3942.29
