date,job_id,well_id,rig_id,operation_phase,depth_drilled_m,cumulative_depth_m,drilling_hours,productive_hours,standby_hours,maintenance_hours,rig_available_hours
2025-01-07,JOB0001,WELL001,RIG001,Surface,26.11,26.11,18.98,18.98,0.0,0.0,24.0
2025-01-08,JOB0001,WELL001,RIG001,Surface,86.34,112.45,20.35,20.35,1.14,0.92,24.0
2025-01-09,JOB0001,WELL001,RIG001,Surface,35.5,147.95,21.44,21.44,2.27,0.29,24.0
2025-01-10,JOB0001,WELL001,RIG001,Surface,61.4,209.35,21.37,21.37,0.38,0.82,24.0
2025-01-11,JOB0001,WELL001,RIG001,Intermediate,95.29,304.64,17.23,17.23,0.0,0.42,24.0
2025-01-12,JOB0001,WELL001,RIG001,Intermediate,33.24,337.88,21.75,21.75,0.0,0.84,24.0
2025-01-13,JOB0001,WELL001,RIG001,Intermediate,58.08,395.97,13.38,13.38,0.9,0.79,24.0
2025-01-14,JOB0001,WELL001,RIG001,Intermediate,110.9,506.86,18.36,18.36,1.31,1.04,24.0
2025-01-15,JOB0001,WELL001,RIG001,Intermediate,117.69,624.56,23.66,23.66,0.34,0.0,24.0
2025-01-16,JOB0001,WELL001,RIG001,Intermediate,63.03,687.59,17.87,17.87,0.78,0.74,24.0
2025-01-17,JOB0001,WELL001,RIG001,Intermediate,46.36,733.95,23.04,23.04,0.08,0.0,24.0
2025-01-18,JOB0001,WELL001,RIG001,Intermediate,91.55,825.5,15.28,15.28,1.59,1.57,24.0
2025-01-19,JOB0001,WELL001,RIG001,Intermediate,85.82,911.31,19.52,19.52,0.0,2.15,24.0
2025-01-20,JOB0001,WELL001,RIG001,Intermediate,115.48,1026.79,19.0,19.0,1.63,1.13,24.0
2025-01-21,JOB0001,WELL001,RIG001,Intermediate,163.79,1190.58,21.23,21.23,0.32,1.46,24.0
2025-01-22,JOB0001,WELL001,RIG001,Intermediate,54.53,1245.11,22.15,22.15,1.07,0.49,24.0
2025-01-23,JOB0001,WELL001,RIG001,Intermediate,95.65,1340.76,10.75,10.75,0.0,1.67,24.0
2025-01-24,JOB0001,WELL001,RIG001,Intermediate,114.41,1455.17,18.15,18.15,2.62,0.0,24.0
2025-01-25,JOB0001,WELL001,RIG001,Intermediate,51.64,1506.8,21.51,21.51,1.83,0.66,24.0
2025-01-26,JOB0001,WELL001,RIG001,Intermediate,85.67,1592.47,17.45,17.45,2.54,2.5,24.0
2025-01-27,JOB0001,WELL001,RIG001,Intermediate,195.49,1787.96,22.86,22.86,0.0,0.35,24.0
2025-01-28,JOB0001,WELL001,RIG001,Intermediate,28.25,1816.21,10.05,10.05,1.87,0.0,24.0
2025-01-29,JOB0001,WELL001,RIG001,Intermediate,66.6,1882.81,18.01,18.01,1.29,0.51,24.0
2025-01-30,JOB0001,WELL001,RIG001,Intermediate,99.34,1982.15,14.44,14.44,1.76,1.08,24.0
2025-01-31,JOB0001,WELL001,RIG001,Intermediate,147.09,2129.23,21.03,21.03,0.33,1.5,24.0
2025-02-01,JOB0001,WELL001,RIG001,Intermediate,20.55,2149.79,20.49,20.49,0.78,1.42,24.0
2025-02-02,JOB0001,WELL001,RIG001,Intermediate,56.27,2206.06,22.29,22.29,0.86,0.84,24.0
2025-02-03,JOB0001,WELL001,RIG001,Intermediate,181.22,2387.28,18.99,18.99,0.5,2.25,24.0
2025-02-04,JOB0001,WELL001,RIG001,Intermediate,75.82,2463.1,19.7,19.7,0.84,0.35,24.0
2025-02-05,JOB0001,WELL001,RIG001,Production,38.79,2501.88,19.94,19.94,1.37,0.89,24.0
2025-02-06,JOB0001,WELL001,RIG001,Production,220.48,2722.37,19.85,19.85,2.58,0.0,24.0
2025-02-07,JOB0001,WELL001,RIG001,Production,68.44,2790.8,21.14,21.14,0.04,0.88,24.0
2025-02-08,JOB0001,WELL001,RIG001,Production,61.19,2852.0,22.92,22.92,0.02,0.0,24.0
2025-02-09,JOB0001,WELL001,RIG001,Production,195.76,3047.76,19.68,19.68,1.54,0.87,24.0
2025-02-10,JOB0001,WELL001,RIG001,Production,136.54,3184.3,15.97,15.97,1.8,0.5,24.0
2025-02-11,JOB0001,WELL001,RIG001,Production,34.96,3219.26,18.06,18.06,0.0,1.0,24.0
2025-02-12,JOB0001,WELL001,RIG001,Production,132.6,3351.86,18.42,18.42,2.17,2.22,24.0
2025-02-13,JOB0001,WELL001,RIG001,Production,52.59,3404.45,18.89,18.89,0.98,1.65,24.0
2025-02-14,JOB0001,WELL001,RIG001,Production,45.55,3450.0,19.7,19.7,0.55,1.88,24.0
2025-01-21,JOB0002,WELL002,RIG002,Surface,89.11,89.11,18.89,18.89,0.43,1.04,24.0
2025-01-22,JOB0002,WELL002,RIG002,Surface,82.59,171.7,12.3,12.3,0.0,0.0,24.0
2025-01-23,JOB0002,WELL002,RIG002,Surface,95.39,267.08,23.04,23.04,0.0,0.83,24.0
2025-01-24,JOB0002,WELL002,RIG002,Surface,92.67,359.76,16.74,16.74,1.62,0.85,24.0
2025-01-25,JOB0002,WELL002,RIG002,Intermediate,118.8,478.56,10.32,10.32,1.37,1.14,24.0
2025-01-26,JOB0002,WELL002,RIG002,Intermediate,43.94,522.5,18.01,18.01,1.22,2.89,24.0
2025-01-27,JOB0002,WELL002,RIG002,Intermediate,121.77,644.27,18.85,18.85,1.11,0.56,24.0
2025-01-28,JOB0002,WELL002,RIG002,Intermediate,31.05,675.32,14.72,14.72,0.0,1.21,24.0
2025-01-29,JOB0002,WELL002,RIG002,Intermediate,114.39,789.71,20.38,20.38,0.49,0.0,24.0
2025-01-30,JOB0002,WELL002,RIG002,Intermediate,62.94,852.65,15.22,15.22,0.0,1.51,24.0
2025-01-31,JOB0002,WELL002,RIG002,Intermediate,35.41,888.06,16.59,16.59,1.86,1.96,24.0
2025-02-01,JOB0002,WELL002,RIG002,Intermediate,80.73,968.79,19.25,19.25,1.96,0.5,24.0
2025-02-02,JOB0002,WELL002,RIG002,Intermediate,36.5,1005.29,19.7,19.7,0.0,0.03,24.0
2025-02-03,JOB0002,WELL002,RIG002,Intermediate,87.18,1092.47,19.07,19.07,1.25,1.19,24.0
2025-02-04,JOB0002,WELL002,RIG002,Intermediate,77.93,1170.41,17.09,17.09,1.2,0.87,24.0
2025-02-05,JOB0002,WELL002,RIG002,Intermediate,96.52,1266.92,10.11,10.11,2.6,0.25,24.0
2025-02-06,JOB0002,WELL002,RIG002,Intermediate,69.03,1335.95,15.18,15.18,1.09,1.76,24.0
2025-02-07,JOB0002,WELL002,RIG002,Intermediate,47.28,1383.23,16.9,16.9,0.0,3.25,24.0
2025-02-08,JOB0002,WELL002,RIG002,Intermediate,143.29,1526.52,18.0,18.0,0.21,1.28,24.0
2025-02-09,JOB0002,WELL002,RIG002,Intermediate,123.5,1650.02,22.69,22.69,0.0,0.02,24.0
2025-02-10,JOB0002,WELL002,RIG002,Intermediate,64.8,1714.83,18.19,18.19,1.18,1.58,24.0
2025-02-11,JOB0002,WELL002,RIG002,Intermediate,69.63,1784.46,19.7,19.7,0.0,1.47,24.0
2025-02-12,JOB0002,WELL002,RIG002,Intermediate,45.26,1829.72,19.6,19.6,1.17,0.0,24.0
2025-02-13,JOB0002,WELL002,RIG002,Intermediate,63.54,1893.26,17.31,17.31,0.44,1.63,24.0
2025-02-14,JOB0002,WELL002,RIG002,Intermediate,112.89,2006.15,12.83,12.83,1.37,0.49,24.0
2025-02-15,JOB0002,WELL002,RIG002,Intermediate,102.26,2108.4,13.38,13.38,0.0,0.51,24.0
