date,job_id,well_id,well_name,basin,region,well_type,rig_id,rig_name,contractor_id,contractor_name,operation_phase,afe_budget_cad,actual_cost_cad,cumulative_actual_cost_cad,cost_variance_cad,cost_variance_pct,planned_days,elapsed_days,schedule_variance_days,drilling_days,depth_drilled_m,cumulative_depth_m,target_depth_m,progress_pct,productive_hours,rig_available_hours,rig_utilization_pct,npt_hours,npt_pct,npt_cost_impact_cad,hse_incident_count,recordable_count,lost_time_count,cost_per_meter_cad,forecast_final_cost_cad,forecast_variance_cad,risk_flag
2025-01-07,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Surface,4216509.87,76282.55,76282.55,44371.5144,0.0,42,1,0.6821,1,26.11,26.11,3450,0.0076,18.98,24.0,0.7908,5.02,0.2092,32263.73,0.0,0.0,0.0,2921.5837,4216509.87,0.0,Normal
2025-01-08,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Surface,4216509.87,61228.98,137511.53,77.7518,0.0,42,2,0.631,2,86.34,112.45,3450,0.0326,20.35,24.0,0.8479,0.0,0.0,0.0,0.0,0.0,0.0,1222.8682,4216509.87,0.0,Normal
2025-01-09,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Surface,4216509.87,65900.48,203412.01,22590.9563,0.0,42,3,1.1989,3,35.5,147.95,3450,0.0429,21.44,24.0,0.8933,0.0,0.0,0.0,0.0,0.0,0.0,1374.87,4216509.87,0.0,Normal
2025-01-10,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Surface,4216509.87,53796.08,257208.09,1345.3824,0.0,42,4,1.4514,4,61.4,209.35,3450,0.0607,21.37,24.0,0.8904,0.0,0.0,0.0,0.0,0.0,0.0,1228.6032,4216509.87,0.0,Normal
2025-01-11,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,77096.39,334304.48,-38019.4524,0.0,42,5,1.2913,5,95.29,304.64,3450,0.0883,17.23,24.0,0.7179,6.34,0.2642,37318.44,0.0,0.0,0.0,1097.3755,4216509.87,0.0,Medium
2025-01-12,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,64120.69,398425.17,-14523.9184,0.0,42,6,1.8867,6,33.24,337.88,3450,0.0979,21.75,24.0,0.9062,0.0,0.0,0.0,1.0,0.0,0.0,1179.1913,4216509.87,0.0,Normal
2025-01-13,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,82837.65,481262.82,-2670.2954,-0.0055,42,7,2.1796,7,58.08,395.96,3450,0.1148,13.38,24.0,0.5575,8.93,0.3721,78512.43,0.0,0.0,0.0,1215.4329,4193243.5827,-23266.2873,Medium
2025-01-14,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,64244.43,545507.25,-73965.2696,-0.1194,42,8,1.8295,8,110.9,506.86,3450,0.1469,18.36,24.0,0.765,3.28,0.1367,18301.25,0.0,0.0,0.0,1076.2484,3713056.8845,-503452.9855,Normal
2025-01-15,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,57622.38,603129.63,-160180.8741,-0.2099,42,9,1.3968,9,117.69,624.55,3450,0.181,23.66,24.0,0.9858,0.0,0.0,0.0,0.0,0.0,0.0,965.7027,3331674.3631,-884835.5069,Normal
2025-01-16,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,77318.52,680448.15,-159896.1562,-0.1903,42,10,1.6295,10,63.03,687.58,3450,0.1993,17.87,24.0,0.7446,4.62,0.1925,43098.17,0.0,0.0,0.0,989.6276,3414215.244,-802294.626,Normal
2025-01-17,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,62714.13,743162.28,-153842.1414,-0.1715,42,11,2.0651,11,46.36,733.94,3450,0.2127,23.04,24.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,1012.5654,3493350.7725,-723159.0975,Medium
2025-01-18,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,73795.48,816957.76,-191936.9451,-0.1902,42,12,1.9506,12,91.55,825.49,3450,0.2393,15.28,24.0,0.6367,5.56,0.2317,30876.32,0.0,0.0,0.0,989.664,3414340.903,-802168.967,Normal
2025-01-19,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,72790.05,889747.81,-224034.1058,-0.2011,42,13,1.9058,13,85.82,911.31,3450,0.2641,19.52,24.0,0.8133,0.0,0.0,0.0,0.0,0.0,0.0,976.3393,3368370.746,-848139.124,Normal
2025-01-20,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,60150.18,949897.99,-305020.8997,-0.2431,42,14,1.4999,14,115.48,1026.79,3450,0.2976,19.0,24.0,0.7917,0.0,0.0,0.0,0.0,0.0,0.0,925.1142,3191643.9248,-1024865.9452,Normal
2025-01-21,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,58061.32,1007959.31,-447139.9135,-0.3073,42,15,0.506,15,163.79,1190.58,3450,0.3451,21.23,24.0,0.8846,0.0,0.0,0.0,0.0,0.0,0.0,846.612,2920811.3856,-1295698.4844,Normal
2025-01-22,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,59456.72,1067416.03,-454328.493,-0.2986,42,16,0.8421,16,54.53,1245.11,3450,0.3609,22.15,24.0,0.9229,0.0,0.0,0.0,1.0,0.0,0.0,857.2865,2957638.5247,-1258871.3453,Normal
2025-01-23,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,98991.43,1166407.46,-472238.2714,-0.2882,42,17,0.6777,17,95.65,1340.76,3450,0.3886,10.75,24.0,0.4479,11.58,0.4825,84827.9,0.0,0.0,0.0,869.9599,3001361.718,-1215148.152,Medium
2025-01-24,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,63530.72,1229938.18,-548536.7961,-0.3084,42,18,0.2849,18,114.41,1455.17,3450,0.4218,18.15,24.0,0.7562,3.23,0.1346,29739.68,0.0,0.0,0.0,845.2196,2916007.5599,-1300502.3101,Normal
2025-01-25,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,49858.57,1279796.75,-561791.4347,-0.3051,42,19,0.6562,19,51.64,1506.81,3450,0.4368,21.51,24.0,0.8963,0.0,0.0,0.0,0.0,0.0,0.0,849.3418,2930229.2841,-1286280.5859,Normal
2025-01-26,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,63158.46,1342955.21,-603336.8589,-0.31,42,20,0.6133,20,85.67,1592.48,3450,0.4616,17.45,24.0,0.7271,0.0,0.0,0.0,0.0,0.0,0.0,843.3106,2909421.4524,-1307088.4176,Normal
2025-01-27,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,56388.11,1399343.32,-785872.0865,-0.3596,42,21,-0.7666,21,195.49,1787.97,3450,0.5183,22.86,24.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,782.6436,2700120.502,-1516389.368,Normal
2025-01-28,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,85828.37,1485171.69,-734570.2103,-0.3309,42,22,-0.1105,22,28.25,1816.22,3450,0.5264,10.05,24.0,0.4188,12.08,0.5033,93897.92,0.0,0.0,0.0,817.7268,2821157.3105,-1395352.5595,Medium
2025-01-29,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,73013.83,1558185.52,-742953.3535,-0.3229,42,23,0.0787,23,66.6,1882.82,3450,0.5457,18.01,24.0,0.7504,4.18,0.1742,30305.06,0.0,0.0,0.0,827.5807,2855153.4634,-1361356.4066,Normal
2025-01-30,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,80870.82,1639056.34,-783493.5742,-0.3234,42,24,-0.1306,24,99.34,1982.16,3450,0.5745,14.44,24.0,0.6017,6.73,0.2804,62149.58,0.0,0.0,0.0,826.9042,2852819.335,-1363690.535,Medium
2025-01-31,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,57172.03,1696228.37,-906091.5259,-0.3482,42,25,-0.9213,25,147.09,2129.25,3450,0.6172,21.03,24.0,0.8762,0.0,0.0,0.0,0.0,0.0,0.0,796.6319,2748379.888,-1468129.982,Normal
2025-02-01,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,63931.65,1760160.02,-867275.6086,-0.3301,42,26,-0.1715,26,20.55,2149.8,3450,0.6231,20.49,24.0,0.8537,0.0,0.0,0.0,0.0,0.0,0.0,818.7552,2824705.5861,-1391804.2839,Normal
2025-02-02,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,54395.63,1814555.65,-881651.8656,-0.327,42,27,0.1435,27,56.27,2206.07,3450,0.6394,22.29,24.0,0.9288,0.0,0.0,0.0,0.0,0.0,0.0,822.5286,2837723.6409,-1378786.2291,Normal
2025-02-03,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,57679.74,1872235.39,-1045455.0006,-0.3583,42,28,-1.0627,28,181.22,2387.29,3450,0.692,18.99,24.0,0.7912,0.0,0.0,0.0,0.0,0.0,0.0,784.2513,2705667.1353,-1510842.7347,Normal
2025-02-04,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Intermediate,4216509.87,64043.85,1936279.24,-1074076.5936,-0.3568,42,29,-0.9857,29,75.82,2463.11,3450,0.7139,19.7,24.0,0.8208,3.1,0.1292,23536.61,1.0,0.0,0.0,786.1116,2712084.8756,-1504424.9944,Normal
2025-02-05,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Production,4216509.87,64430.02,2000709.26,-1057054.8107,-0.3457,42,30,-0.4579,30,38.79,2501.9,3450,0.7252,19.94,24.0,0.8308,0.0,0.0,0.0,0.0,0.0,0.0,799.676,2758882.0285,-1457627.8415,Normal
2025-02-06,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Production,4216509.87,67273.01,2067982.27,-1259247.3358,-0.3785,42,31,-2.142,31,220.48,2722.38,3450,0.7891,19.85,24.0,0.8271,0.0,0.0,0.0,0.0,0.0,0.0,759.6229,2620699.1057,-1595810.7643,Normal
2025-02-07,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Production,4216509.87,57733.14,2125715.41,-1285159.9742,-0.3768,42,32,-1.9752,32,68.44,2790.82,3450,0.8089,21.14,24.0,0.8808,0.0,0.0,0.0,0.0,0.0,0.0,761.6813,2627800.4904,-1588709.3796,Normal
2025-02-08,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Production,4216509.87,61743.82,2187459.23,-1298201.151,-0.3724,42,33,-1.7201,33,61.19,2852.01,3450,0.8267,22.92,24.0,0.955,0.0,0.0,0.0,0.0,0.0,0.0,766.9886,2646110.7582,-1570399.1118,Normal
2025-02-09,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Production,4216509.87,56256.81,2243716.04,-1481197.6662,-0.3976,42,34,-3.1033,34,195.76,3047.77,3450,0.8834,19.68,24.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,736.1829,2539830.8724,-1676678.9976,Normal
2025-02-10,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Production,4216509.87,69208.11,2312924.15,-1578865.5729,-0.4057,42,35,-3.7655,35,136.54,3184.31,3450,0.923,15.97,24.0,0.6654,5.73,0.2388,40431.66,0.0,0.0,0.0,726.3502,2505908.13,-1710601.74,Normal
2025-02-11,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Production,4216509.87,64718.7,2377642.85,-1556874.173,-0.3957,42,36,-3.1911,36,34.96,3219.27,3450,0.9331,18.06,24.0,0.7525,4.94,0.2058,30629.68,0.0,0.0,0.0,738.5658,2548052.1461,-1668457.7239,Normal
2025-02-12,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Production,4216509.87,63599.59,2441242.44,-1655335.2232,-0.4041,42,37,-3.8054,37,132.6,3351.87,3450,0.9716,18.42,24.0,0.7675,0.0,0.0,0.0,0.0,0.0,0.0,728.3225,2512712.7299,-1703797.1401,Normal
2025-02-13,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Production,4216509.87,68854.41,2510096.85,-1650755.0897,-0.3967,42,38,-3.4456,38,52.59,3404.46,3450,0.9868,18.89,24.0,0.7871,0.0,0.0,0.0,0.0,0.0,0.0,737.2966,2543673.3381,-1672836.5319,Normal
2025-02-14,JOB0001,WELL001,Prairie Dawn 01,Williston,Saskatchewan,Horizontal,RIG001,Rig 12,CON001,Northstar Drilling Services,Production,4216509.87,54770.4,2564867.25,-1651642.62,-0.3917,42,39,-3.0,39,45.55,3450.01,3450,1.0,19.7,24.0,0.8208,0.0,0.0,0.0,0.0,0.0,0.0,743.4376,2564867.25,-1651642.62,Normal
2025-01-21,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Surface,3815248.57,67133.85,67133.85,-35889.4227,0.0,43,1,-0.1611,1,89.11,89.11,3300,0.027,18.89,24.0,0.7871,3.64,0.1517,24990.15,0.0,0.0,0.0,753.3818,3815248.57,0.0,Normal
2025-01-22,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Surface,3815248.57,82495.19,149629.04,-48879.4992,0.0,43,2,-0.2373,2,82.59,171.7,3300,0.052,12.3,24.0,0.5125,11.7,0.4875,74742.97,0.0,0.0,0.0,871.4563,3815248.57,0.0,Medium
2025-01-23,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Surface,3815248.57,59402.22,209031.26,-99761.0856,0.0,43,3,-0.4803,3,95.39,267.09,3300,0.0809,23.04,24.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,782.6248,3815248.57,0.0,Normal
2025-01-24,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Surface,3815248.57,73277.89,282309.15,-133622.3123,-0.3213,43,4,-0.6878,4,92.67,359.76,3300,0.109,16.74,24.0,0.6975,4.79,0.1996,44450.44,0.0,0.0,0.0,784.7152,2589560.2485,-1225688.3215,Normal
2025-01-25,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,92820.25,375129.4,-178151.0108,-0.322,43,5,-1.2358,5,118.8,478.56,3300,0.145,10.32,24.0,0.43,11.17,0.4654,79617.4,0.0,0.0,0.0,783.8712,2586774.9498,-1228473.6202,Medium
2025-01-26,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,64893.53,440022.93,-164058.0936,-0.2716,43,6,-0.8083,6,43.94,522.5,3300,0.1583,18.01,24.0,0.7504,0.0,0.0,0.0,0.0,0.0,0.0,842.1491,2779092.1895,-1036156.3805,Normal
2025-01-27,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,83290.08,523313.01,-221550.6858,-0.2974,43,7,-1.395,7,121.77,644.27,3300,0.1952,18.85,24.0,0.7854,3.48,0.145,32138.98,0.0,0.0,0.0,812.2573,2680449.0866,-1134799.4834,Normal
2025-01-28,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,80565.07,603878.08,-176883.6365,-0.2266,43,8,-0.7996,8,31.05,675.32,3300,0.2046,14.72,24.0,0.6133,8.07,0.3362,58834.03,0.0,0.0,0.0,894.2103,2950893.8933,-864354.6767,Medium
2025-01-29,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,73543.18,677421.26,-235590.8455,-0.258,43,9,-1.2902,9,114.39,789.71,3300,0.2393,20.38,24.0,0.8492,3.12,0.13,17448.03,0.0,0.0,0.0,857.8102,2830773.5219,-984475.0481,Normal
2025-01-30,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,81448.37,758869.63,-226909.671,-0.2302,43,10,-1.1103,10,62.94,852.65,3300,0.2584,15.22,24.0,0.6342,7.27,0.3029,60204.85,0.0,0.0,0.0,890.0131,2937043.0763,-878205.4937,Medium
2025-01-31,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,68796.88,827666.51,-199051.5643,-0.1939,43,11,-0.5717,11,35.41,888.06,3300,0.2691,16.59,24.0,0.6912,3.6,0.15,34003.11,0.0,0.0,0.0,931.9939,3075579.8966,-739668.6734,Normal
2025-02-01,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,70487.87,898154.38,-221898.5479,-0.1981,43,12,-0.6236,12,80.73,968.79,3300,0.2936,19.25,24.0,0.8021,0.0,0.0,0.0,0.0,0.0,0.0,927.0888,3059393.1131,-755855.4569,Normal
2025-02-02,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,72326.55,970480.93,-191770.9594,-0.165,43,13,-0.0992,13,36.5,1005.29,3300,0.3046,19.7,24.0,0.8208,4.26,0.1775,34467.19,0.0,0.0,0.0,965.3741,3185734.5333,-629514.0367,Normal
2025-02-03,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,79948.67,1050429.6,-212614.2198,-0.1683,43,14,-0.2352,14,87.18,1092.47,3300,0.3311,19.07,24.0,0.7946,0.0,0.0,0.0,0.0,0.0,0.0,961.518,3173009.4923,-642239.0777,Normal
2025-02-04,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,73398.17,1123827.77,-229313.7228,-0.1695,43,15,-0.2507,15,77.93,1170.4,3300,0.3547,17.09,24.0,0.7121,4.84,0.2017,27498.95,0.0,0.0,0.0,960.2083,3168687.3214,-646561.2486,Normal
2025-02-05,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,95785.56,1219613.33,-245118.4028,-0.1673,43,16,-0.5084,16,96.52,1266.92,3300,0.3839,10.11,24.0,0.4212,11.05,0.4604,77759.47,0.0,0.0,0.0,962.6601,3176778.3199,-638470.2501,Medium
2025-02-06,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,75821.68,1295435.01,-249104.7861,-0.1613,43,17,-0.4078,17,69.03,1335.95,3300,0.4048,15.18,24.0,0.6325,5.97,0.2488,40641.0,0.0,0.0,0.0,969.6733,3199921.8032,-615326.7668,Normal
2025-02-07,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,68362.5,1363797.51,-235404.3929,-0.1472,43,18,-0.0239,18,47.28,1383.23,3300,0.4192,16.9,24.0,0.7042,3.86,0.1608,25763.61,0.0,0.0,0.0,985.9514,3253639.5126,-561609.0574,Normal
2025-02-08,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,72822.23,1436619.74,-328244.8803,-0.186,43,19,-0.891,19,143.29,1526.52,3300,0.4626,18.0,24.0,0.75,4.5,0.1875,36083.84,0.0,0.0,0.0,941.1077,3105655.4398,-709593.1302,Normal
2025-02-09,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,62306.39,1498926.13,-408721.2777,-0.2143,43,20,-1.5003,20,123.5,1650.02,3300,0.5,22.69,24.0,0.9454,0.0,0.0,0.0,0.0,0.0,0.0,908.4291,2997815.9228,-817432.6472,Normal
2025-02-10,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,74220.39,1573146.52,-409418.496,-0.2065,43,21,-1.3446,21,64.8,1714.82,3300,0.5196,18.19,24.0,0.7579,3.05,0.1271,23554.33,0.0,0.0,0.0,917.3829,3027363.5227,-787885.0473,Normal
2025-02-11,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,70491.74,1643638.26,-419428.5008,-0.2033,43,22,-1.2519,22,69.63,1784.45,3300,0.5407,19.7,24.0,0.8208,0.0,0.0,0.0,0.0,0.0,0.0,921.0896,3039595.5381,-775653.0319,Normal
2025-02-12,JOB0002,WELL002,Red River 02,Williston,Manitoba,Horizontal,RIG002,Rig 18,CON002,Prairie Directional,Intermediate,3815248.57,69507.7,1713145.96,-402247.513,-0.1902,43,23,-0.8417,23,45.26,1829.71,3300,0.5545,19.6,24.0,0.8167,3.23,0.1346,20930.64,0.0,0.0,0.0,936.2937,3089769.2356,-725479.3344,Normal
