hse_event_id,date,job_id,contractor_id,event_type,severity,recordable,lost_time
HSE00001,2025-01-12,JOB0001,CON001,Near miss,Low,0,0
HSE00002,2025-01-22,JOB0001,CON002,Near miss,Low,0,0
HSE00003,2025-02-04,JOB0001,CON003,First aid,Low,0,0
HSE00004,2025-02-22,JOB0002,CON002,Equipment damage,Low,0,0
HSE00005,2025-02-25,JOB0002,CON004,Equipment damage,Low,0,0
HSE00006,2025-02-13,JOB0003,CON003,First aid,Medium,1,0
HSE00007,2025-02-22,JOB0004,CON001,Near miss,Low,0,0
HSE00008,2025-03-01,JOB0004,CON003,First aid,Low,0,0
HSE00009,2025-03-03,JOB0004,CON006,Near miss,Medium,1,0
HSE00010,2025-03-07,JOB0004,CON006,Lost time incident,High,1,1
HSE00011,2025-03-24,JOB0004,CON006,First aid,Medium,1,0
HSE00012,2025-04-05,JOB0005,CON002,Near miss,Low,0,0
HSE00013,2025-04-26,JOB0005,CON002,Spill,Low,0,0
HSE00014,2025-04-05,JOB0006,CON003,Near miss,Low,0,0
HSE00015,2025-05-09,JOB0006,CON001,Near miss,Medium,1,0
HSE00016,2025-05-04,JOB0007,CON002,Near miss,Low,0,0
HSE00017,2025-05-21,JOB0007,CON001,Near miss,Low,0,0
