npt_event_id,date,job_id,contractor_id,npt_category,npt_hours,estimated_cost_impact_cad
NPT00001,2025-01-07,JOB0001,CON002,Weather,5.02,32263.73
NPT00002,2025-01-11,JOB0001,CON005,Mechanical,6.34,37318.44
NPT00003,2025-01-13,JOB0001,CON004,Directional,8.93,78512.43
NPT00004,2025-01-14,JOB0001,CON002,Mechanical,3.28,18301.25
NPT00005,2025-01-16,JOB0001,CON003,Mechanical,4.62,43098.17
NPT00006,2025-01-18,JOB0001,CON002,Weather,5.56,30876.32
NPT00007,2025-01-23,JOB0001,CON002,Weather,11.58,84827.9
NPT00008,2025-01-24,JOB0001,CON005,Logistics,3.23,29739.68
NPT00009,2025-01-28,JOB0001,CON002,Waiting on materials,12.08,93897.92
NPT00010,2025-01-29,JOB0001,CON002,Waiting on materials,4.18,30305.06
NPT00011,2025-01-30,JOB0001,CON005,Mechanical,6.73,62149.58
NPT00012,2025-02-04,JOB0001,CON003,Weather,3.1,23536.61
NPT00013,2025-02-10,JOB0001,CON002,Directional,5.73,40431.66
NPT00014,2025-02-11,JOB0001,CON004,Weather,4.94,30629.68
NPT00015,2025-01-21,JOB0002,CON005,Weather,3.64,24990.15
NPT00016,2025-01-22,JOB0002,CON002,Weather,11.7,74742.97
NPT00017,2025-01-24,JOB0002,CON003,Waiting on materials,4.79,44450.44
NPT00018,2025-01-25,JOB0002,CON002,Directional,11.17,79617.4
NPT00019,2025-01-27,JOB0002,CON003,Waiting on materials,3.48,32138.98
NPT00020,2025-01-28,JOB0002,CON005,Mechanical,8.07,58834.03
NPT00021,2025-01-29,JOB0002,CON002,Mechanical,3.12,17448.03
NPT00022,2025-01-30,JOB0002,CON001,Weather,7.27,60204.85
NPT00023,2025-01-31,JOB0002,CON004,Directional,3.6,34003.11
NPT00024,2025-02-02,JOB0002,CON005,Logistics,4.26,34467.19
NPT00025,2025-02-04,JOB0002,CON006,Mechanical,4.84,27498.95
NPT00026,2025-02-05,JOB0002,CON003,Weather,11.05,77759.47
NPT00027,2025-02-06,JOB0002,CON003,Directional,5.97,40641.0
NPT00028,2025-02-07,JOB0002,CON001,Mechanical,3.86,25763.61
NPT00029,2025-02-08,JOB0002,CON002,Weather,4.5,36083.84
NPT00030,2025-02-10,JOB0002,CON003,Logistics,3.05,23554.33
NPT00031,2025-02-12,JOB0002,CON005,Weather,3.23,20930.64
NPT00032,2025-02-13,JOB0002,CON003,Directional,4.62,39207.43
NPT00033,2025-02-14,JOB0002,CON006,Waiting on materials,9.3,73043.32
NPT00034,2025-02-15,JOB0002,CON005,Weather,10.1,58882.38
NPT00035,2025-02-16,JOB0002,CON001,Directional,5.71,41723.55
NPT00036,2025-02-17,JOB0002,CON005,Waiting on materials,3.35,24169.44
NPT00037,2025-02-18,JOB0002,CON004,Waiting on materials,5.15,32664.79
NPT00038,2025-02-19,JOB0002,CON005,Directional,3.6,28614.42
NPT00039,2025-02-21,JOB0002,CON002,Weather,10.77,89017.0
NPT00040,2025-02-22,JOB0002,CON001,Waiting on materials,4.87,42557.83
NPT00041,2025-02-23,JOB0002,CON005,Waiting on materials,11.82,108451.49
NPT00042,2025-02-24,JOB0002,CON001,Waiting on materials,8.44,57172.42
NPT00043,2025-02-25,JOB0002,CON006,Waiting on materials,10.11,57624.07
NPT00044,2025-02-27,JOB0002,CON001,Waiting on materials,8.61,75367.83
NPT00045,2025-02-28,JOB0002,CON003,Directional,3.5,31917.12
NPT00046,2025-02-07,JOB0003,CON004,Waiting on materials,4.06,31911.64
NPT00047,2025-02-09,JOB0003,CON004,Directional,7.4,47501.2
NPT00048,2025-02-12,JOB0003,CON006,Logistics,5.05,35220.87
NPT00049,2025-02-14,JOB0003,CON003,Weather,9.95,67426.32
NPT00050,2025-02-15,JOB0003,CON005,Waiting on materials,7.31,52083.4
NPT00051,2025-02-16,JOB0003,CON005,Directional,3.69,21129.12
NPT00052,2025-02-19,JOB0003,CON003,Directional,3.38,25268.37
NPT00053,2025-02-20,JOB0003,CON006,Directional,10.32,93964.76
NPT00054,2025-02-21,JOB0003,CON002,Waiting on materials,3.63,23670.77
NPT00055,2025-02-22,JOB0003,CON004,Waiting on materials,13.29,105496.35
NPT00056,2025-02-23,JOB0003,CON005,Directional,3.67,25412.77
NPT00057,2025-02-27,JOB0003,CON004,Logistics,3.87,28007.18
NPT00058,2025-03-01,JOB0003,CON001,Weather,3.11,25049.54
NPT00059,2025-03-03,JOB0003,CON006,Mechanical,11.3,105890.54
NPT00060,2025-03-06,JOB0003,CON006,Waiting on materials,3.16,17509.39
NPT00061,2025-03-10,JOB0003,CON005,Directional,11.52,71860.56
NPT00062,2025-03-12,JOB0003,CON006,Directional,9.95,55484.51
