policy_id,employer_id,product_id,effective_date,renewal_date,status,pricing_tier
POL0001,EMP001,PRD001,2024-03-30,2026-01-13,Active,Standard
POL0002,EMP001,PRD005,2024-12-14,2026-01-01,Active,Preferred
POL0003,EMP001,PRD003,2024-04-03,2026-02-05,Active,Standard
POL0004,EMP002,PRD001,2024-09-22,2026-01-17,Active,Preferred
POL0005,EMP002,PRD003,2024-08-13,2026-01-21,Active,Standard
POL0006,EMP002,PRD005,2024-10-05,2026-03-15,Active,Standard
POL0007,EMP003,PRD004,2024-03-26,2026-03-29,Active,Standard
POL0008,EMP003,PRD005,2024-02-10,2026-03-12,Active,Standard
POL0009,EMP003,PRD003,2024-01-09,2026-01-25,Active,Watch
POL0010,EMP004,PRD005,2024-08-22,2026-01-15,Active,Preferred
POL0011,EMP004,PRD003,2024-06-20,2026-01-27,Active,Standard
POL0012,EMP004,PRD004,2024-02-12,2026-02-05,Active,Preferred
POL0013,EMP005,PRD005,2024-11-19,2026-03-18,Active,Standard
POL0014,EMP005,PRD002,2024-01-16,2026-03-02,Active,Preferred
POL0015,EMP005,PRD001,2024-06-25,2026-02-23,Active,Standard
POL0016,EMP006,PRD002,2024-08-10,2026-02-08,Active,Standard
POL0017,EMP006,PRD003,2024-04-28,2026-03-09,Active,Standard
POL0018,EMP006,PRD004,2024-06-03,2026-03-02,Active,Preferred
POL0019,EMP007,PRD004,2024-12-13,2026-01-12,Active,Standard
POL0020,EMP007,PRD003,2024-07-23,2026-01-19,Active,Standard
POL0021,EMP007,PRD001,2024-06-15,2026-03-04,Active,Standard
POL0022,EMP008,PRD002,2024-11-19,2026-03-11,Active,Preferred
POL0023,EMP008,PRD001,2024-03-23,2026-02-14,Active,Standard
POL0024,EMP008,PRD003,2024-05-03,2026-03-16,Active,Standard
POL0025,EMP009,PRD001,2024-09-14,2026-03-03,Active,Standard
POL0026,EMP009,PRD003,2024-08-16,2026-01-07,Active,Standard
POL0027,EMP009,PRD005,2024-07-21,2026-03-22,Active,Preferred
POL0028,EMP010,PRD002,2024-12-20,2026-01-07,Active,Preferred
POL0029,EMP010,PRD003,2024-04-19,2026-03-31,Active,Standard
POL0030,EMP010,PRD005,2024-05-24,2026-01-13,Active,Preferred
POL0031,EMP011,PRD002,2024-08-29,2026-03-15,Active,Preferred
POL0032,EMP011,PRD005,2024-04-14,2026-01-13,Active,Watch
POL0033,EMP011,PRD003,2024-02-14,2026-03-25,Active,Preferred
POL0034,EMP012,PRD001,2024-04-12,2026-02-25,Active,Preferred
POL0035,EMP012,PRD003,2024-10-04,2026-02-24,Active,Standard
POL0036,EMP012,PRD005,2024-05-01,2026-02-27,Active,Watch
