month_start,policy_id,employer_id,employer_name,industry,region_id,region_name,province,product_id,product_name,product_category,coverage_level,pricing_tier,member_count,earned_premium_cad,paid_claims_cad,incurred_claims_cad,claim_count,loss_ratio,claims_frequency,claims_severity_cad,premium_per_member_cad,claims_per_member_cad,profitability_cad
2025-01-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,352,56773.54,2631.5,2982.36,23.0,0.0525,0.0653,129.6678,161.2885,8.4726,53791.18
2025-02-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,353,56934.83,5966.66,6547.26,50.0,0.115,0.1416,130.9452,161.2885,18.5475,50387.57
2025-03-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,360,58063.85,5739.12,6330.61,43.0,0.109,0.1194,147.2235,161.2885,17.585,51733.24
2025-04-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,359,57902.56,5678.03,6379.22,49.0,0.1102,0.1365,130.1882,161.2885,17.7694,51523.34
2025-05-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,347,55967.1,2932.04,3309.91,30.0,0.0591,0.0865,110.3303,161.2885,9.5386,52657.19
2025-06-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,355,57257.41,6743.16,7450.81,41.0,0.1301,0.1155,181.7271,161.2885,20.9882,49806.6
2025-07-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,372,59999.31,4585.5,5099.05,46.0,0.085,0.1237,110.8489,161.2885,13.7071,54900.26
2025-08-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,364,58709.0,4246.55,4700.22,34.0,0.0801,0.0934,138.2418,161.2885,12.9127,54008.78
2025-09-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,360,58063.85,5088.78,5572.29,41.0,0.096,0.1139,135.9095,161.2885,15.4786,52491.56
2025-10-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,353,56934.83,4666.08,5217.43,41.0,0.0916,0.1161,127.2544,161.2885,14.7803,51717.4
2025-11-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,348,56128.39,3543.93,3911.17,25.0,0.0697,0.0718,156.4468,161.2885,11.239,52217.22
2025-12-01,POL0001,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD001,Core Health,Health,Core,Standard,356,57418.7,2497.58,2749.06,25.0,0.0479,0.0702,109.9624,161.2885,7.7221,54669.64
2025-01-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,451,12689.29,11202.32,12403.34,1.0,0.9775,0.0022,12403.34,28.1359,27.5019,285.95
2025-02-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,449,12633.02,0.0,0.0,0.0,0.0,0.0,0.0,28.1359,0.0,12633.02
2025-03-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,426,11985.89,0.0,0.0,0.0,0.0,0.0,0.0,28.1359,0.0,11985.89
2025-04-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,438,12323.53,0.0,0.0,0.0,0.0,0.0,0.0,28.1359,0.0,12323.53
2025-05-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,442,12436.07,0.0,0.0,0.0,0.0,0.0,0.0,28.1359,0.0,12436.07
2025-06-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,425,11957.76,0.0,0.0,0.0,0.0,0.0,0.0,28.1359,0.0,11957.76
2025-07-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,439,12351.66,0.0,0.0,0.0,0.0,0.0,0.0,28.1359,0.0,12351.66
2025-08-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,437,12295.39,4883.0,5722.73,1.0,0.4654,0.0023,5722.73,28.1359,13.0955,6572.66
2025-09-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,454,12773.7,0.0,0.0,0.0,0.0,0.0,0.0,28.1359,0.0,12773.7
2025-10-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,427,12014.03,0.0,0.0,0.0,0.0,0.0,0.0,28.1359,0.0,12014.03
2025-11-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,427,12014.03,5598.51,6388.6,1.0,0.5318,0.0023,6388.6,28.1359,14.9616,5625.43
2025-12-01,POL0002,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD005,Life Basic,Life,Core,Preferred,431,12126.57,6155.73,6592.86,1.0,0.5437,0.0023,6592.86,28.1359,15.2967,5533.71
2025-01-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,382,29770.4,11315.39,12696.63,30.0,0.4265,0.0785,423.221,77.933,33.2373,17073.77
2025-02-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,378,29458.67,18004.76,19293.78,22.0,0.6549,0.0582,876.99,77.933,51.0417,10164.89
2025-03-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,385,30004.2,14659.58,15922.29,32.0,0.5307,0.0831,497.5716,77.933,41.3566,14081.91
2025-04-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,376,29302.8,19876.61,21975.97,36.0,0.75,0.0957,610.4436,77.933,58.4467,7326.83
2025-05-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,377,29380.74,17413.89,18727.96,37.0,0.6374,0.0981,506.1611,77.933,49.6763,10652.78
2025-06-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,375,29224.87,16519.1,18243.15,30.0,0.6242,0.08,608.105,77.933,48.6484,10981.72
2025-07-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,377,29380.74,23519.49,26312.18,37.0,0.8956,0.0981,711.14,77.933,69.7936,3068.56
2025-08-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,376,29302.8,8034.33,8962.8,20.0,0.3059,0.0532,448.14,77.933,23.8372,20340.0
2025-09-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,390,30393.86,13471.94,14976.23,23.0,0.4927,0.059,651.1404,77.933,38.4006,15417.63
2025-10-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,374,29146.94,15977.32,17664.01,36.0,0.606,0.0963,490.6669,77.933,47.23,11482.93
2025-11-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,366,28523.47,11331.63,12192.97,21.0,0.4275,0.0574,580.6176,77.933,33.3141,16330.5
2025-12-01,POL0003,EMP001,Prairie Manufacturing,Manufacturing,REG001,Prairies,Manitoba,PRD003,Dental Plus,Dental,Enhanced,Standard,381,29692.47,15588.36,17334.35,28.0,0.5838,0.0735,619.0839,77.933,45.497,12358.12
2025-01-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,411,58197.72,4432.12,5009.72,35.0,0.0861,0.0852,143.1349,141.6003,12.1891,53188.0
2025-02-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,402,56923.32,5851.79,6537.05,51.0,0.1148,0.1269,128.1775,141.6003,16.2613,50386.27
2025-03-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,428,60604.93,4895.47,5429.39,43.0,0.0896,0.1005,126.2649,141.6003,12.6855,55175.54
2025-04-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,426,60321.73,4943.63,5512.47,44.0,0.0914,0.1033,125.2834,141.6003,12.9401,54809.26
2025-05-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,415,58764.12,6255.51,7019.79,52.0,0.1195,0.1253,134.996,141.6003,16.9152,51744.33
2025-06-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,421,59613.73,3544.83,3830.59,30.0,0.0643,0.0713,127.6863,141.6003,9.0988,55783.14
2025-07-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,416,58905.72,5966.42,6643.35,55.0,0.1128,0.1322,120.7882,141.6003,15.9696,52262.37
2025-08-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,409,57914.52,3971.06,4346.53,36.0,0.0751,0.088,120.7369,141.6003,10.6272,53567.99
2025-09-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,409,57914.52,7635.54,8522.36,54.0,0.1472,0.132,157.8215,141.6003,20.8371,49392.16
2025-10-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,429,60746.53,5090.62,5665.39,40.0,0.0933,0.0932,141.6348,141.6003,13.206,55081.14
2025-11-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,409,57914.52,2670.16,2947.55,30.0,0.0509,0.0733,98.2517,141.6003,7.2067,54966.97
2025-12-01,POL0004,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD001,Core Health,Health,Core,Preferred,428,60604.93,3480.51,3863.71,37.0,0.0638,0.0864,104.4246,141.6003,9.0274,56741.22
2025-01-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,448,40301.67,25468.12,28313.58,47.0,0.7025,0.1049,602.4166,89.9591,63.2,11988.09
2025-02-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,452,40661.5,22417.2,24378.68,38.0,0.5996,0.0841,641.5442,89.9591,53.9351,16282.82
2025-03-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,451,40571.54,18281.25,20192.99,37.0,0.4977,0.082,545.7565,89.9591,44.7738,20378.55
2025-04-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,452,40661.5,18756.52,20832.49,45.0,0.5123,0.0996,462.9442,89.9591,46.0896,19829.01
2025-05-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,434,39042.24,24400.66,26962.5,40.0,0.6906,0.0922,674.0625,89.9591,62.1256,12079.74
2025-06-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,445,40031.79,22182.8,24393.67,47.0,0.6094,0.1056,519.0143,89.9591,54.8172,15638.12
2025-07-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,454,40841.42,11719.63,13177.36,28.0,0.3226,0.0617,470.62,89.9591,29.025,27664.06
2025-08-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,436,39222.16,26183.26,29191.82,46.0,0.7443,0.1055,634.6048,89.9591,66.9537,10030.34
2025-09-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,453,40751.46,26221.55,29181.95,46.0,0.7161,0.1015,634.3902,89.9591,64.4193,11569.51
2025-10-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,441,39671.95,22882.37,24970.84,46.0,0.6294,0.1043,542.8443,89.9591,56.6232,14701.11
2025-11-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,449,40391.63,24831.22,27245.92,44.0,0.6745,0.098,619.2255,89.9591,60.6813,13145.71
2025-12-01,POL0005,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD003,Dental Plus,Dental,Enhanced,Standard,452,40661.5,18224.95,20142.19,36.0,0.4954,0.0796,559.5053,89.9591,44.5624,20519.31
2025-01-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,492,13379.17,0.0,0.0,0.0,0.0,0.0,0.0,27.1934,0.0,13379.17
2025-02-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,481,13080.05,12238.75,12692.58,1.0,0.9704,0.0021,12692.58,27.1935,26.3879,387.47
2025-03-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,470,12780.92,0.0,0.0,0.0,0.0,0.0,0.0,27.1934,0.0,12780.92
2025-04-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,469,12753.72,7559.18,9121.1,1.0,0.7152,0.0021,9121.1,27.1934,19.448,3632.62
2025-05-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,479,13025.66,0.0,0.0,0.0,0.0,0.0,0.0,27.1934,0.0,13025.66
2025-06-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,490,13324.79,0.0,0.0,0.0,0.0,0.0,0.0,27.1934,0.0,13324.79
2025-07-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,494,13433.56,3981.4,4611.35,1.0,0.3433,0.002,4611.35,27.1934,9.3347,8822.21
2025-08-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,466,12672.14,0.0,0.0,0.0,0.0,0.0,0.0,27.1934,0.0,12672.14
2025-09-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,485,13188.82,3470.33,3571.77,1.0,0.2708,0.0021,3571.77,27.1934,7.3645,9617.05
2025-10-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,483,13134.43,0.0,0.0,0.0,0.0,0.0,0.0,27.1934,0.0,13134.43
2025-11-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,486,13216.01,0.0,0.0,0.0,0.0,0.0,0.0,27.1934,0.0,13216.01
2025-12-01,POL0006,EMP002,Northern Retail Group,Retail,REG002,Ontario,Ontario,PRD005,Life Basic,Life,Core,Standard,480,13052.85,17554.64,19677.59,1.0,1.5075,0.0021,19677.59,27.1934,40.995,-6624.74
2025-01-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,569,39526.32,17494.86,19050.22,6.0,0.482,0.0105,3175.0367,69.4663,33.4802,20476.1
2025-02-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,570,39595.79,16039.67,17824.02,5.0,0.4501,0.0088,3564.804,69.4663,31.2702,21771.77
2025-03-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,573,39804.19,18567.66,20506.49,6.0,0.5152,0.0105,3417.7483,69.4663,35.7879,19297.7
2025-04-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,591,41054.58,10086.38,11369.24,6.0,0.2769,0.0102,1894.8733,69.4663,19.2373,29685.34
2025-05-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,591,41054.58,11043.72,12994.18,4.0,0.3165,0.0068,3248.545,69.4663,21.9868,28060.4
2025-06-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,564,39178.99,7855.11,8517.65,4.0,0.2174,0.0071,2129.4125,69.4663,15.1022,30661.34
2025-07-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,591,41054.58,10112.08,11065.08,4.0,0.2695,0.0068,2766.27,69.4663,18.7226,29989.5
2025-08-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,573,39804.19,29612.74,32027.69,8.0,0.8046,0.014,4003.4612,69.4663,55.8947,7776.5
2025-09-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,604,41957.64,26299.55,29762.65,8.0,0.7093,0.0132,3720.3312,69.4663,49.2759,12194.99
2025-10-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,586,40707.25,6828.87,6994.87,4.0,0.1718,0.0068,1748.7175,69.4663,11.9366,33712.38
2025-11-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,588,40846.18,16954.75,19092.15,7.0,0.4674,0.0119,2727.45,69.4663,32.4696,21754.03
2025-12-01,POL0007,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD004,Disability Protect,Disability,Core,Standard,604,41957.64,12354.24,14135.17,5.0,0.3369,0.0083,2827.034,69.4663,23.4026,27822.47
2025-01-01,POL0008,EMP003,West Energy Services,Energy,REG003,Alberta,Alberta,PRD005,Life Basic,Life,Core,Standard,556,17337.2,7915.11,9263.95,1.0,0.5343,0.0018,9263.95,31.182,16.6618,8073.25
