policy_id,employer_id,employer_name,product_id,product_name,region_name,earned_premium_cad,paid_claims_cad,incurred_claims_cad,claim_count,avg_member_count,profitability_cad,loss_ratio,claims_frequency,claims_severity_cad
POL0001,EMP001,Prairie Manufacturing,PRD001,Core Health,Prairies,690153.37,54318.93,60249.39,448.0,356.5833,629903.98,0.0873,1.2564,134.4852
POL0002,EMP001,Prairie Manufacturing,PRD005,Life Basic,Prairies,147600.94,27839.56,31107.53,4.0,437.1667,116493.41,0.2108,0.0091,7776.8825
POL0003,EMP001,Prairie Manufacturing,PRD003,Dental Plus,Prairies,353581.96,185712.4,204302.32,352.0,378.0833,149279.64,0.5778,0.931,580.4043
POL0004,EMP002,Northern Retail Group,PRD001,Core Health,Ontario,708426.29,58737.66,65327.9,507.0,416.9167,643098.39,0.0922,1.2161,128.8519
POL0005,EMP002,Northern Retail Group,PRD003,Dental Plus,Ontario,482810.36,261569.53,288983.99,500.0,447.25,193826.37,0.5985,1.1179,577.968
POL0006,EMP002,Northern Retail Group,PRD005,Life Basic,Ontario,157042.12,44804.3,49674.39,5.0,481.25,107367.73,0.3163,0.0104,9934.878
POL0007,EMP003,West Energy Services,PRD004,Disability Protect,Alberta,486541.93,183249.63,203339.41,67.0,583.6667,283202.52,0.4179,0.1148,3034.9166
POL0008,EMP003,West Energy Services,PRD005,Life Basic,Alberta,207984.05,86425.35,96891.1,11.0,555.8333,111092.95,0.4659,0.0198,8808.2818
POL0009,EMP003,West Energy Services,PRD003,Dental Plus,Alberta,743130.19,326084.77,363081.78,636.0,626.0,380048.41,0.4886,1.016,570.8833
POL0010,EMP004,Pacific Logistics,PRD005,Life Basic,British Columbia,161061.07,48461.06,53020.93,8.0,512.5833,108040.14,0.3292,0.0156,6627.6162
POL0011,EMP004,Pacific Logistics,PRD003,Dental Plus,British Columbia,468128.75,207886.26,232368.36,426.0,501.0,235760.39,0.4964,0.8503,545.4656
POL0012,EMP004,Pacific Logistics,PRD004,Disability Protect,British Columbia,336334.04,113584.22,125868.14,46.0,393.8333,210465.9,0.3742,0.1168,2736.2639
POL0013,EMP005,Lakeview Schools,PRD005,Life Basic,Ontario,48041.14,0.0,0.0,0.0,147.75,48041.14,0.0,0.0,0.0
POL0014,EMP005,Lakeview Schools,PRD002,Enhanced Health,Ontario,436827.65,20991.42,23301.66,188.0,154.0833,413525.99,0.0533,1.2201,123.945
POL0015,EMP005,Lakeview Schools,PRD001,Core Health,Ontario,275542.42,30505.83,33915.96,241.0,175.5833,241626.46,0.1231,1.3726,140.7301
POL0016,EMP006,Central Ag Foods,PRD002,Enhanced Health,Prairies,1198741.31,60567.17,67258.5,528.0,447.75,1131482.81,0.0561,1.1792,127.3835
POL0017,EMP006,Central Ag Foods,PRD003,Dental Plus,Prairies,421291.77,197968.46,221477.67,407.0,433.3333,199814.1,0.5257,0.9392,544.1712
POL0018,EMP006,Central Ag Foods,PRD004,Disability Protect,Prairies,323527.78,104284.01,115402.33,48.0,439.5833,208125.45,0.3567,0.1092,2404.2152
POL0019,EMP007,Atlantic Care Homes,PRD004,Disability Protect,Atlantic,235650.36,74981.64,82484.24,32.0,317.0833,153166.12,0.35,0.1009,2577.6325
POL0020,EMP007,Atlantic Care Homes,PRD003,Dental Plus,Atlantic,281456.76,153237.54,169143.05,262.0,287.8333,112313.71,0.601,0.9102,645.5842
POL0021,EMP007,Atlantic Care Homes,PRD001,Core Health,Atlantic,520958.25,41940.66,46536.55,359.0,278.25,474421.7,0.0893,1.2902,129.6283
POL0022,EMP008,Metro Software Co,PRD002,Enhanced Health,Ontario,1043889.36,61956.28,68735.35,505.0,376.5833,975154.01,0.0658,1.341,136.1096
POL0023,EMP008,Metro Software Co,PRD001,Core Health,Ontario,858173.28,64953.03,72190.63,574.0,419.8333,785982.65,0.0841,1.3672,125.7676
POL0024,EMP008,Metro Software Co,PRD003,Dental Plus,Ontario,430700.63,180221.02,200766.54,365.0,422.1667,229934.09,0.4661,0.8646,550.0453
POL0025,EMP009,Foothills Construction,PRD001,Core Health,Alberta,604820.03,42047.75,46952.91,377.0,322.0,557867.12,0.0776,1.1708,124.5435
POL0026,EMP009,Foothills Construction,PRD003,Dental Plus,Alberta,294673.42,173572.29,193530.98,295.0,319.4167,101142.44,0.6568,0.9236,656.0372
POL0027,EMP009,Foothills Construction,PRD005,Life Basic,Alberta,116866.29,0.0,0.0,0.0,316.6667,116866.29,0.0,0.0,0.0
POL0028,EMP010,Harbour Hospitality,PRD002,Enhanced Health,British Columbia,416389.48,26405.66,29534.37,209.0,175.5833,386855.11,0.0709,1.1903,141.3128
POL0029,EMP010,Harbour Hospitality,PRD003,Dental Plus,British Columbia,207763.3,94944.47,106776.46,195.0,189.75,100986.84,0.5139,1.0277,547.5716
POL0030,EMP010,Harbour Hospitality,PRD005,Life Basic,British Columbia,75680.44,0.0,0.0,0.0,197.3333,75680.44,0.0,0.0,0.0
POL0031,EMP011,Winnipeg Services,PRD002,Enhanced Health,Prairies,462481.91,22533.44,25171.65,205.0,169.8333,437310.26,0.0544,1.2071,122.7885
POL0032,EMP011,Winnipeg Services,PRD005,Life Basic,Prairies,68517.18,0.0,0.0,0.0,179.5,68517.18,0.0,0.0,0.0
POL0033,EMP011,Winnipeg Services,PRD003,Dental Plus,Prairies,178099.57,72959.78,80071.75,146.0,149.9167,98027.82,0.4496,0.9739,548.4366
POL0034,EMP012,Capital Distribution,PRD001,Core Health,Ontario,996450.35,82343.41,91233.35,692.0,551.8333,905217.0,0.0916,1.254,131.8401
POL0035,EMP012,Capital Distribution,PRD003,Dental Plus,Ontario,543494.73,194815.21,215107.4,412.0,461.6667,328387.33,0.3958,0.8924,522.1053
POL0036,EMP012,Capital Distribution,PRD005,Life Basic,Ontario,133267.66,31751.68,33757.6,4.0,434.25,99510.06,0.2533,0.0092,8439.4
