premium_id,month_start,policy_id,employer_id,product_id,member_count,earned_premium_cad
PREM00001,2025-01-01,POL0001,EMP001,PRD001,352,56773.54
PREM00002,2025-02-01,POL0001,EMP001,PRD001,353,56934.83
PREM00003,2025-03-01,POL0001,EMP001,PRD001,360,58063.85
PREM00004,2025-04-01,POL0001,EMP001,PRD001,359,57902.56
PREM00005,2025-05-01,POL0001,EMP001,PRD001,347,55967.1
PREM00006,2025-06-01,POL0001,EMP001,PRD001,355,57257.41
PREM00007,2025-07-01,POL0001,EMP001,PRD001,372,59999.31
PREM00008,2025-08-01,POL0001,EMP001,PRD001,364,58709.0
PREM00009,2025-09-01,POL0001,EMP001,PRD001,360,58063.85
PREM00010,2025-10-01,POL0001,EMP001,PRD001,353,56934.83
PREM00011,2025-11-01,POL0001,EMP001,PRD001,348,56128.39
PREM00012,2025-12-01,POL0001,EMP001,PRD001,356,57418.7
PREM00013,2025-01-01,POL0002,EMP001,PRD005,451,12689.29
PREM00014,2025-02-01,POL0002,EMP001,PRD005,449,12633.02
PREM00015,2025-03-01,POL0002,EMP001,PRD005,426,11985.89
PREM00016,2025-04-01,POL0002,EMP001,PRD005,438,12323.53
PREM00017,2025-05-01,POL0002,EMP001,PRD005,442,12436.07
PREM00018,2025-06-01,POL0002,EMP001,PRD005,425,11957.76
PREM00019,2025-07-01,POL0002,EMP001,PRD005,439,12351.66
PREM00020,2025-08-01,POL0002,EMP001,PRD005,437,12295.39
PREM00021,2025-09-01,POL0002,EMP001,PRD005,454,12773.7
PREM00022,2025-10-01,POL0002,EMP001,PRD005,427,12014.03
PREM00023,2025-11-01,POL0002,EMP001,PRD005,427,12014.03
PREM00024,2025-12-01,POL0002,EMP001,PRD005,431,12126.57
PREM00025,2025-01-01,POL0003,EMP001,PRD003,382,29770.4
PREM00026,2025-02-01,POL0003,EMP001,PRD003,378,29458.67
PREM00027,2025-03-01,POL0003,EMP001,PRD003,385,30004.2
PREM00028,2025-04-01,POL0003,EMP001,PRD003,376,29302.8
PREM00029,2025-05-01,POL0003,EMP001,PRD003,377,29380.74
PREM00030,2025-06-01,POL0003,EMP001,PRD003,375,29224.87
