contribution_id,date,member_id,portfolio_id,contribution_cad
CONTR000001,2025-01-31,MEM00001,PF001,244.0
CONTR000002,2025-02-28,MEM00001,PF001,242.76
CONTR000003,2025-03-31,MEM00001,PF001,241.6
CONTR000004,2025-04-30,MEM00001,PF001,241.69
CONTR000005,2025-05-31,MEM00001,PF001,230.63
CONTR000006,2025-06-30,MEM00001,PF001,221.04
CONTR000007,2025-07-31,MEM00001,PF001,228.2
CONTR000008,2025-08-31,MEM00001,PF001,217.34
CONTR000009,2025-09-30,MEM00001,PF001,240.33
CONTR000010,2025-10-31,MEM00001,PF001,211.3
CONTR000011,2025-11-30,MEM00001,PF001,235.1
CONTR000012,2025-12-31,MEM00001,PF001,228.83
CONTR000013,2025-01-31,MEM00002,PF001,388.03
CONTR000014,2025-02-28,MEM00002,PF001,414.67
CONTR000015,2025-03-31,MEM00002,PF001,378.87
CONTR000016,2025-04-30,MEM00002,PF001,416.67
CONTR000017,2025-05-31,MEM00002,PF001,367.86
CONTR000018,2025-06-30,MEM00002,PF001,368.26
CONTR000019,2025-07-31,MEM00002,PF001,392.41
CONTR000020,2025-08-31,MEM00002,PF001,384.04
CONTR000021,2025-09-30,MEM00002,PF001,359.7
CONTR000022,2025-10-31,MEM00002,PF001,406.54
CONTR000023,2025-11-30,MEM00002,PF001,364.33
CONTR000024,2025-12-31,MEM00002,PF001,410.06
CONTR000025,2025-01-31,MEM00003,PF001,610.93
CONTR000026,2025-02-28,MEM00003,PF001,617.82
CONTR000027,2025-03-31,MEM00003,PF001,641.25
CONTR000028,2025-04-30,MEM00003,PF001,684.61
CONTR000029,2025-05-31,MEM00003,PF001,637.43
CONTR000030,2025-06-30,MEM00003,PF001,612.71
CONTR000031,2025-07-31,MEM00003,PF001,621.37
CONTR000032,2025-08-31,MEM00003,PF001,699.45
CONTR000033,2025-09-30,MEM00003,PF001,707.79
CONTR000034,2025-10-31,MEM00003,PF001,693.86
CONTR000035,2025-11-30,MEM00003,PF001,637.22
CONTR000036,2025-12-31,MEM00003,PF001,640.63
CONTR000037,2025-01-31,MEM00004,PF001,807.33
CONTR000038,2025-02-28,MEM00004,PF001,869.92
CONTR000039,2025-03-31,MEM00004,PF001,923.96
CONTR000040,2025-04-30,MEM00004,PF001,811.26
CONTR000041,2025-05-31,MEM00004,PF001,893.43
CONTR000042,2025-06-30,MEM00004,PF001,819.92
CONTR000043,2025-07-31,MEM00004,PF001,875.02
CONTR000044,2025-08-31,MEM00004,PF001,817.95
CONTR000045,2025-09-30,MEM00004,PF001,880.78
CONTR000046,2025-10-31,MEM00004,PF001,854.34
CONTR000047,2025-11-30,MEM00004,PF001,877.54
CONTR000048,2025-12-31,MEM00004,PF001,928.03
CONTR000049,2025-01-31,MEM00005,PF001,532.85
