date,asset_class_id,price_local
2025-01-02,AC001,99.8328
2025-01-03,AC001,101.1406
2025-01-06,AC001,101.9316
2025-01-07,AC001,101.4252
2025-01-08,AC001,102.4269
2025-01-09,AC001,104.4172
2025-01-10,AC001,104.3868
2025-01-13,AC001,102.6766
2025-01-14,AC001,102.8193
2025-01-15,AC001,102.8706
2025-01-16,AC001,103.4693
2025-01-17,AC001,102.6293
2025-01-20,AC001,102.0927
2025-01-21,AC001,102.4625
2025-01-22,AC001,102.8872
2025-01-23,AC001,102.1619
2025-01-24,AC001,103.6195
2025-01-27,AC001,103.5755
2025-01-28,AC001,103.6647
2025-01-29,AC001,104.2732
2025-01-30,AC001,104.5906
2025-01-31,AC001,105.779
2025-02-03,AC001,105.9751
2025-02-04,AC001,105.6873
2025-02-05,AC001,106.2726
2025-02-06,AC001,106.6236
2025-02-07,AC001,106.0678
2025-02-10,AC001,106.1539
2025-02-11,AC001,107.0294
2025-02-12,AC001,106.4754
2025-02-13,AC001,105.4977
2025-02-14,AC001,105.204
2025-02-17,AC001,106.6488
2025-02-18,AC001,106.5274
2025-02-19,AC001,105.7732
2025-02-20,AC001,106.1824
2025-02-21,AC001,104.5871
2025-02-24,AC001,105.3431
2025-02-25,AC001,106.0522
2025-02-26,AC001,105.3375
2025-02-27,AC001,105.794
2025-02-28,AC001,105.8832
2025-03-03,AC001,107.391
2025-03-04,AC001,108.9002
2025-03-05,AC001,106.2657
2025-03-06,AC001,106.4823
2025-03-07,AC001,107.5013
2025-03-10,AC001,108.9163
2025-03-11,AC001,108.1282
2025-03-12,AC001,107.3991
2025-03-13,AC001,106.4047
2025-03-14,AC001,106.5151
2025-03-17,AC001,107.1183
2025-03-18,AC001,107.5947
2025-03-19,AC001,108.2371
2025-03-20,AC001,110.0428
2025-03-21,AC001,109.1455
2025-03-24,AC001,110.7694
2025-03-25,AC001,110.2808
2025-03-26,AC001,110.5707
2025-03-27,AC001,110.5575
2025-03-28,AC001,111.5799
2025-03-31,AC001,111.7488
2025-04-01,AC001,113.2872
2025-04-02,AC001,114.3265
2025-04-03,AC001,114.2721
2025-04-04,AC001,114.4248
2025-04-07,AC001,114.9701
2025-04-08,AC001,116.4927
2025-04-09,AC001,116.2762
2025-04-10,AC001,116.0775
2025-04-11,AC001,115.9887
2025-04-14,AC001,117.1886
2025-04-15,AC001,114.6281
2025-04-16,AC001,114.0963
2025-04-17,AC001,114.6968
2025-04-18,AC001,113.1641
2025-04-21,AC001,113.3976
2025-04-22,AC001,112.5987
2025-04-23,AC001,112.0732
2025-04-24,AC001,114.167
2025-04-25,AC001,115.0663
2025-04-28,AC001,114.3127
2025-04-29,AC001,111.8515
2025-04-30,AC001,112.3829
2025-05-01,AC001,110.7781
2025-05-02,AC001,110.3159
2025-05-05,AC001,111.4222
2025-05-06,AC001,111.1762
2025-05-07,AC001,110.8594
2025-05-08,AC001,110.1617
2025-05-09,AC001,110.2481
2025-05-12,AC001,110.7422
2025-05-13,AC001,111.6087
2025-05-14,AC001,112.3604
2025-05-15,AC001,114.0505
2025-05-16,AC001,115.3678
2025-05-19,AC001,116.6153
2025-05-20,AC001,117.0581
2025-05-21,AC001,117.8316
2025-05-22,AC001,118.6469
2025-05-23,AC001,117.607
2025-05-26,AC001,117.7054
2025-05-27,AC001,117.0418
2025-05-28,AC001,116.6405
2025-05-29,AC001,115.2494
2025-05-30,AC001,115.0649
2025-06-02,AC001,114.363
2025-06-03,AC001,113.4167
2025-06-04,AC001,114.6474
2025-06-05,AC001,114.8916
2025-06-06,AC001,115.4245
2025-06-09,AC001,116.3727
2025-06-10,AC001,117.4502
2025-06-11,AC001,118.6084
2025-06-12,AC001,117.9016
2025-06-13,AC001,117.393
2025-06-16,AC001,118.4623
2025-06-17,AC001,119.3468
2025-06-18,AC001,119.198
2025-06-19,AC001,120.65
2025-06-20,AC001,118.3374
2025-06-23,AC001,118.8949
2025-06-24,AC001,117.5024
2025-06-25,AC001,119.0994
2025-06-26,AC001,121.4236
2025-06-27,AC001,120.0418
2025-06-30,AC001,121.3002
2025-07-01,AC001,118.4428
2025-07-02,AC001,117.0962
2025-07-03,AC001,116.5638
2025-07-04,AC001,115.8601
2025-07-07,AC001,114.5572
2025-07-08,AC001,115.4083
2025-07-09,AC001,115.1361
2025-07-10,AC001,115.202
2025-07-11,AC001,117.1324
2025-07-14,AC001,116.7869
2025-07-15,AC001,116.1469
2025-07-16,AC001,114.5175
2025-07-17,AC001,115.1652
2025-07-18,AC001,115.7443
2025-07-21,AC001,115.261
2025-07-22,AC001,116.7758
2025-07-23,AC001,117.3245
2025-07-24,AC001,117.0113
2025-07-25,AC001,117.5803
2025-07-28,AC001,120.7598
2025-07-29,AC001,120.7985
2025-07-30,AC001,121.3359
2025-07-31,AC001,120.6956
2025-08-01,AC001,121.6906
2025-08-04,AC001,123.568
2025-08-05,AC001,123.5535
2025-08-06,AC001,124.6863
2025-08-07,AC001,124.1092
2025-08-08,AC001,123.1987
2025-08-11,AC001,123.9936
2025-08-12,AC001,124.1103
2025-08-13,AC001,123.3296
2025-08-14,AC001,124.4427
2025-08-15,AC001,125.6008
2025-08-18,AC001,123.832
2025-08-19,AC001,121.8414
2025-08-20,AC001,120.0016
2025-08-21,AC001,119.3065
2025-08-22,AC001,120.2267
2025-08-25,AC001,121.6689
2025-08-26,AC001,122.3449
2025-08-27,AC001,123.4829
2025-08-28,AC001,121.3616
2025-08-29,AC001,119.864
2025-09-01,AC001,120.6438
2025-09-02,AC001,121.0036
2025-09-03,AC001,122.2077
2025-09-04,AC001,122.3044
2025-09-05,AC001,121.1189
2025-09-08,AC001,122.3297
2025-09-09,AC001,121.3825
2025-09-10,AC001,122.6951
2025-09-11,AC001,122.6958
2025-09-12,AC001,124.4936
2025-09-15,AC001,122.8774
2025-09-16,AC001,122.1092
2025-09-17,AC001,122.5513
2025-09-18,AC001,121.1085
2025-09-19,AC001,119.7483
2025-09-22,AC001,119.7161
2025-09-23,AC001,118.804
2025-09-24,AC001,118.8519
2025-09-25,AC001,120.5761
2025-09-26,AC001,120.6624
2025-09-29,AC001,121.1133
2025-09-30,AC001,122.9217
2025-10-01,AC001,122.5698
2025-10-02,AC001,123.7059
2025-10-03,AC001,123.6725
2025-10-06,AC001,127.0235
2025-10-07,AC001,127.204
2025-10-08,AC001,126.5594
2025-10-09,AC001,127.3946
2025-10-10,AC001,129.2472
2025-10-13,AC001,127.7471
2025-10-14,AC001,128.1028
2025-10-15,AC001,127.1767
2025-10-16,AC001,126.946
2025-10-17,AC001,130.2624
2025-10-20,AC001,131.2717
2025-10-21,AC001,129.6495
2025-10-22,AC001,131.1953
2025-10-23,AC001,131.6782
2025-10-24,AC001,131.6152
2025-10-27,AC001,133.5165
2025-10-28,AC001,134.2023
2025-10-29,AC001,135.1379
2025-10-30,AC001,134.1052
2025-10-31,AC001,133.3119
2025-11-03,AC001,132.4558
2025-11-04,AC001,132.5425
2025-11-05,AC001,130.8038
2025-11-06,AC001,131.0008
2025-11-07,AC001,128.5151
2025-11-10,AC001,130.0777
2025-11-11,AC001,128.0228
2025-11-12,AC001,130.1923
2025-11-13,AC001,129.5964
2025-11-14,AC001,127.2936
2025-11-17,AC001,126.0776
2025-11-18,AC001,124.7412
2025-11-19,AC001,123.6607
2025-11-20,AC001,122.0958
2025-11-21,AC001,120.7868
2025-11-24,AC001,119.1986
2025-11-25,AC001,119.5558
2025-11-26,AC001,119.3365
2025-11-27,AC001,118.2849
2025-11-28,AC001,120.6131
2025-12-01,AC001,120.6659
2025-12-02,AC001,119.6523
2025-12-03,AC001,119.7522
2025-12-04,AC001,117.7615
2025-12-05,AC001,117.8975
2025-12-08,AC001,120.1839
2025-12-09,AC001,118.7492
2025-12-10,AC001,120.8671
2025-12-11,AC001,121.0156
2025-12-12,AC001,121.2936
2025-12-15,AC001,119.753
2025-12-16,AC001,121.5833
2025-12-17,AC001,121.6046
2025-12-18,AC001,120.5672
2025-12-19,AC001,121.2156
2025-12-22,AC001,119.3174
2025-12-23,AC001,120.9979
2025-12-24,AC001,119.8292
2025-12-25,AC001,119.4525
2025-12-26,AC001,118.4889
2025-12-29,AC001,118.2324
2025-12-30,AC001,116.7837
2025-12-31,AC001,116.6905
2025-01-02,AC002,116.4569
2025-01-03,AC002,115.0623
2025-01-06,AC002,117.3782
2025-01-07,AC002,116.8613
2025-01-08,AC002,118.1815
2025-01-09,AC002,117.0543
2025-01-10,AC002,114.9863
2025-01-13,AC002,116.7088
2025-01-14,AC002,117.6952
2025-01-15,AC002,118.3891
2025-01-16,AC002,116.1335
