portfolio_id,portfolio_name,currency,fx_exposure_cad,portfolio_value_cad,fx_exposure_pct
PF001,Conservative Income,CAD,0.0,12823413.327667,0.0
PF001,Conservative Income,USD,8860013.6468,8860013.6468,0.408608
PF002,Balanced Growth,CAD,0.0,22796792.863181,0.0
PF002,Balanced Growth,EUR,2230640.050385,2230640.050385,0.04529
PF002,Balanced Growth,USD,24224536.158011,24224536.158011,0.491849
PF003,Growth Plus,CAD,0.0,10376818.486971,0.0
PF003,Growth Plus,EUR,1126113.590841,1126113.590841,0.040821
PF003,Growth Plus,USD,16083550.908655,16083550.908655,0.583023
PF004,Retirement 2045,CAD,0.0,13458996.977665,0.0
PF004,Retirement 2045,EUR,2173660.892855,2173660.892855,0.065638
PF004,Retirement 2045,USD,17483188.476315,17483188.476315,0.52794
