date,usd_cad,eur_cad
2025-01-02,1.3502,1.469
2025-01-03,1.3451,1.4704
2025-01-06,1.3481,1.4646
2025-01-07,1.3463,1.4625
2025-01-08,1.3439,1.4564
2025-01-09,1.3441,1.4634
2025-01-10,1.3438,1.4668
2025-01-13,1.34,1.4659
2025-01-14,1.3384,1.4652
2025-01-15,1.3399,1.4661
2025-01-16,1.3424,1.4696
2025-01-17,1.3403,1.4756
2025-01-20,1.3405,1.4749
2025-01-21,1.3441,1.4816
2025-01-22,1.3399,1.4799
2025-01-23,1.3406,1.4769
2025-01-24,1.3419,1.4821
2025-01-27,1.3429,1.4871
2025-01-28,1.3436,1.4829
2025-01-29,1.3419,1.4817
2025-01-30,1.3429,1.4849
2025-01-31,1.3431,1.4878
2025-02-03,1.3441,1.4864
2025-02-04,1.347,1.4884
2025-02-05,1.345,1.4836
2025-02-06,1.3467,1.4828
2025-02-07,1.3511,1.4861
2025-02-10,1.3507,1.4864
2025-02-11,1.347,1.483
2025-02-12,1.3447,1.4882
2025-02-13,1.3443,1.4903
2025-02-14,1.3434,1.4894
2025-02-17,1.343,1.4848
2025-02-18,1.3446,1.483
2025-02-19,1.3453,1.4846
2025-02-20,1.3423,1.4845
2025-02-21,1.3426,1.4902
2025-02-24,1.3423,1.4895
2025-02-25,1.3416,1.4926
2025-02-26,1.3414,1.4942
2025-02-27,1.3409,1.4949
2025-02-28,1.3433,1.5018
2025-03-03,1.3399,1.5075
2025-03-04,1.3382,1.507
2025-03-05,1.3411,1.4987
2025-03-06,1.339,1.4961
2025-03-07,1.3401,1.4935
2025-03-10,1.3367,1.4928
2025-03-11,1.338,1.4958
2025-03-12,1.335,1.4882
2025-03-13,1.3377,1.4886
2025-03-14,1.3376,1.4909
2025-03-17,1.3362,1.4943
2025-03-18,1.3381,1.4887
2025-03-19,1.3354,1.4836
2025-03-20,1.3369,1.4858
2025-03-21,1.3362,1.4818
2025-03-24,1.3357,1.4843
2025-03-25,1.3347,1.4819
2025-03-26,1.338,1.4807
2025-03-27,1.3388,1.4876
2025-03-28,1.3392,1.4915
2025-03-31,1.3388,1.4919
2025-04-01,1.3382,1.4917
2025-04-02,1.3354,1.4948
2025-04-03,1.3358,1.4932
2025-04-04,1.3373,1.4908
2025-04-07,1.3357,1.4887
2025-04-08,1.3416,1.4842
2025-04-09,1.3448,1.485
2025-04-10,1.3399,1.484
2025-04-11,1.3442,1.4834
2025-04-14,1.3469,1.4851
2025-04-15,1.3478,1.4823
2025-04-16,1.3463,1.4852
2025-04-17,1.3462,1.487
2025-04-18,1.3427,1.4873
2025-04-21,1.3389,1.4874
2025-04-22,1.341,1.4853
2025-04-23,1.3411,1.4866
2025-04-24,1.3445,1.4862
2025-04-25,1.344,1.4807
2025-04-28,1.344,1.4811
2025-04-29,1.3431,1.4804
2025-04-30,1.344,1.4819
2025-05-01,1.3397,1.4803
2025-05-02,1.3388,1.4774
2025-05-05,1.3405,1.4797
2025-05-06,1.3379,1.4792
2025-05-07,1.3385,1.4806
2025-05-08,1.3414,1.4871
2025-05-09,1.3465,1.4902
2025-05-12,1.3438,1.4851
2025-05-13,1.3342,1.4801
2025-05-14,1.3371,1.4724
2025-05-15,1.3382,1.4745
2025-05-16,1.3393,1.4716
2025-05-19,1.341,1.4697
2025-05-20,1.336,1.4743
2025-05-21,1.3308,1.4729
2025-05-22,1.3324,1.4737
2025-05-23,1.3353,1.477
2025-05-26,1.3362,1.4735
2025-05-27,1.3399,1.472
2025-05-28,1.3371,1.4765
2025-05-29,1.3371,1.4728
2025-05-30,1.3365,1.4735
2025-06-02,1.3335,1.4776
2025-06-03,1.3355,1.4767
2025-06-04,1.3374,1.4781
2025-06-05,1.3354,1.4782
2025-06-06,1.3336,1.4787
2025-06-09,1.3335,1.4797
2025-06-10,1.3338,1.476
2025-06-11,1.332,1.4778
2025-06-12,1.33,1.4698
2025-06-13,1.3301,1.467
2025-06-16,1.326,1.4625
2025-06-17,1.3276,1.4619
2025-06-18,1.3347,1.4681
2025-06-19,1.3349,1.4705
2025-06-20,1.3363,1.4741
2025-06-23,1.3362,1.474
2025-06-24,1.3364,1.4764
2025-06-25,1.3367,1.4755
2025-06-26,1.3397,1.4763
2025-06-27,1.3444,1.4798
2025-06-30,1.3451,1.4782
2025-07-01,1.3463,1.4743
2025-07-02,1.3416,1.4737
2025-07-03,1.3433,1.4749
2025-07-04,1.344,1.4737
2025-07-07,1.348,1.469
2025-07-08,1.3456,1.4687
2025-07-09,1.3441,1.467
2025-07-10,1.3413,1.4666
2025-07-11,1.3427,1.4694
2025-07-14,1.3451,1.4737
2025-07-15,1.3444,1.4745
2025-07-16,1.3451,1.4765
2025-07-17,1.3511,1.4737
2025-07-18,1.3513,1.4745
2025-07-21,1.3492,1.4653
2025-07-22,1.349,1.4637
2025-07-23,1.3486,1.4612
2025-07-24,1.3454,1.4618
2025-07-25,1.344,1.4615
2025-07-28,1.345,1.4622
2025-07-29,1.3443,1.4617
2025-07-30,1.3432,1.4562
2025-07-31,1.3423,1.4533
2025-08-01,1.3421,1.4481
2025-08-04,1.3465,1.4476
2025-08-05,1.3455,1.4495
2025-08-06,1.3414,1.4458
2025-08-07,1.3407,1.4426
2025-08-08,1.3407,1.4416
2025-08-11,1.3464,1.4456
2025-08-12,1.3471,1.4466
2025-08-13,1.3446,1.4427
2025-08-14,1.3489,1.4402
2025-08-15,1.354,1.4358
2025-08-18,1.3522,1.4352
2025-08-19,1.3571,1.4367
2025-08-20,1.3578,1.4397
2025-08-21,1.3546,1.4351
2025-08-22,1.3591,1.4311
2025-08-25,1.3554,1.426
2025-08-26,1.3538,1.4224
2025-08-27,1.3549,1.4224
