holding_id,portfolio_id,asset_class_id,as_of_date,units,target_allocation_pct
HLD00001,PF001,AC001,2025-01-02,27015.348,0.15
HLD00002,PF001,AC002,2025-01-02,16116.5171,0.1
HLD00003,PF001,AC003,2025-01-02,13681.0752,0.08
HLD00004,PF001,AC004,2025-01-02,74416.8492,0.42
HLD00005,PF001,AC005,2025-01-02,31864.9726,0.15
HLD00006,PF001,AC006,2025-01-02,8337.7452,0.05
HLD00007,PF001,AC007,2025-01-02,13464.4546,0.05
HLD00008,PF002,AC001,2025-01-02,91053.5323,0.22
HLD00009,PF002,AC002,2025-01-02,79090.5135,0.2
HLD00010,PF002,AC003,2025-01-02,49960.0204,0.15
HLD00011,PF002,AC004,2025-01-02,90204.1461,0.23
HLD00012,PF002,AC005,2025-01-02,35239.6315,0.1
HLD00013,PF002,AC006,2025-01-02,24742.9111,0.06
HLD00014,PF002,AC007,2025-01-02,8570.5664,0.02
HLD00015,PF002,AC008,2025-01-02,14960.2839,0.02
HLD00016,PF003,AC001,2025-01-02,55943.7957,0.25
HLD00017,PF003,AC002,2025-01-02,49841.0314,0.27
HLD00018,PF003,AC003,2025-01-02,47822.1422,0.22
HLD00019,PF003,AC004,2025-01-02,22501.9954,0.08
HLD00020,PF003,AC005,2025-01-02,11122.4794,0.05
HLD00021,PF003,AC006,2025-01-02,14934.4361,0.06
HLD00022,PF003,AC007,2025-01-02,2652.8677,0.02
HLD00023,PF003,AC008,2025-01-02,7552.5314,0.05
HLD00024,PF004,AC001,2025-01-02,58981.1209,0.22
HLD00025,PF004,AC002,2025-01-02,49166.7498,0.22
HLD00026,PF004,AC003,2025-01-02,45523.0918,0.18
HLD00027,PF004,AC004,2025-01-02,45358.993,0.18
HLD00028,PF004,AC005,2025-01-02,24363.9686,0.08
HLD00029,PF004,AC006,2025-01-02,19723.8441,0.06
HLD00030,PF004,AC007,2025-01-02,2658.725,0.03
HLD00031,PF004,AC008,2025-01-02,14578.1405,0.03
