member_id,portfolio_id,age,retirement_age,annual_salary_cad,contribution_rate_pct
MEM00001,PF001,54,65,55334.09,0.0494
MEM00002,PF001,35,60,69564.63,0.0666
MEM00003,PF001,51,67,91360.09,0.0865
MEM00004,PF001,36,65,113780.12,0.0923
MEM00005,PF001,47,65,67741.61,0.0883
MEM00006,PF001,49,65,93033.75,0.0843
MEM00007,PF001,46,60,112984.92,0.0476
MEM00008,PF001,44,65,67670.33,0.0554
MEM00009,PF001,42,65,101044.77,0.0833
MEM00010,PF001,57,65,93415.67,0.0781
MEM00011,PF001,48,65,82292.92,0.1059
MEM00012,PF001,56,65,68381.36,0.0957
MEM00013,PF001,37,65,57195.45,0.1099
MEM00014,PF001,30,65,63737.1,0.1014
MEM00015,PF001,49,60,78607.11,0.0792
MEM00016,PF001,46,65,63179.91,0.1015
MEM00017,PF001,35,65,42000.0,0.046
MEM00018,PF001,60,67,53057.91,0.1071
MEM00019,PF001,59,65,42000.0,0.1044
MEM00020,PF001,45,65,50095.26,0.0595
MEM00021,PF001,55,67,84783.07,0.0762
MEM00022,PF001,58,67,77959.88,0.0735
MEM00023,PF001,48,65,55076.19,0.1073
MEM00024,PF001,56,65,127070.81,0.0502
MEM00025,PF001,34,65,63228.11,0.0539
MEM00026,PF001,31,65,72715.54,0.1043
MEM00027,PF001,28,65,119606.88,0.1022
MEM00028,PF001,39,65,77166.79,0.0478
MEM00029,PF001,60,67,67680.56,0.0923
MEM00030,PF001,38,60,44965.71,0.0937
MEM00031,PF002,59,65,84959.26,0.0834
MEM00032,PF002,58,67,69367.06,0.0895
MEM00033,PF002,52,60,82600.79,0.0548
MEM00034,PF002,48,65,53298.04,0.0896
MEM00035,PF002,38,65,66722.91,0.078
MEM00036,PF002,35,65,80687.9,0.1041
MEM00037,PF002,38,65,108486.54,0.064
MEM00038,PF002,46,65,65903.23,0.0945
MEM00039,PF002,33,65,64603.27,0.0947
MEM00040,PF002,54,65,82618.74,0.0597
MEM00041,PF002,38,65,64320.86,0.0716
MEM00042,PF002,47,60,42000.0,0.0816
MEM00043,PF002,35,65,51530.95,0.0862
MEM00044,PF002,59,67,86353.54,0.1009
MEM00045,PF002,49,65,105443.98,0.0834
MEM00046,PF002,28,65,86043.15,0.1085
MEM00047,PF002,54,65,97265.84,0.0999
MEM00048,PF002,32,65,65490.71,0.0505
MEM00049,PF002,61,65,63902.86,0.0743
MEM00050,PF002,45,65,85105.25,0.0999
MEM00051,PF002,49,65,74018.19,0.1016
MEM00052,PF002,39,65,111704.96,0.0723
MEM00053,PF002,45,65,71363.24,0.0857
MEM00054,PF002,33,65,111479.16,0.0455
MEM00055,PF002,40,65,78374.89,0.0675
MEM00056,PF002,35,65,96269.04,0.0853
MEM00057,PF002,55,65,79898.36,0.0457
MEM00058,PF002,51,65,57204.36,0.0974
MEM00059,PF002,51,65,55187.53,0.0445
MEM00060,PF002,36,65,54740.5,0.0899
MEM00061,PF003,59,65,53490.32,0.0639
MEM00062,PF003,31,65,69821.75,0.085
MEM00063,PF003,52,67,85508.68,0.0467
MEM00064,PF003,57,65,67332.26,0.0525
MEM00065,PF003,29,65,86962.41,0.0833
MEM00066,PF003,49,65,89895.7,0.0717
MEM00067,PF003,49,65,59813.78,0.1032
MEM00068,PF003,34,67,61181.51,0.0554
MEM00069,PF003,48,67,56721.82,0.092
MEM00070,PF003,47,67,50072.85,0.0476
MEM00071,PF003,54,65,64520.25,0.0967
MEM00072,PF003,53,65,42000.0,0.0554
MEM00073,PF003,46,65,99194.24,0.1085
MEM00074,PF003,54,65,106894.73,0.0945
MEM00075,PF003,31,60,114148.84,0.0794
MEM00076,PF003,42,60,90381.86,0.0607
MEM00077,PF003,51,65,95350.15,0.1099
MEM00078,PF003,31,60,103444.93,0.1049
MEM00079,PF003,58,67,42000.0,0.1019
MEM00080,PF003,56,67,80301.29,0.0729
MEM00081,PF003,47,60,76887.57,0.0941
MEM00082,PF003,41,65,108391.35,0.0859
MEM00083,PF003,55,65,93324.04,0.0425
MEM00084,PF003,57,65,101758.87,0.1074
MEM00085,PF003,36,65,75116.3,0.053
MEM00086,PF003,29,60,77705.45,0.1066
MEM00087,PF003,39,65,66919.81,0.0997
