date,portfolio_id,portfolio_name,risk_profile,portfolio_value_cad,daily_return,cumulative_return,benchmark_return,benchmark_cumulative_return,active_return,contribution_cad,withdrawal_cad,net_flow_cad
2025-01-02,PF001,Conservative Income,Conservative,21071012.335379,0.0,0.0,0.004093,0.004093,-0.004093,0.0,0.0,0.0
2025-01-03,PF001,Conservative Income,Conservative,21047045.270048,-0.001137,-0.001137,-0.003794,0.000283,0.002657,0.0,0.0,0.0
2025-01-06,PF001,Conservative Income,Conservative,21176356.356851,0.006144,0.004999,-0.004001,-0.003719,0.010145,0.0,0.0,0.0
2025-01-07,PF001,Conservative Income,Conservative,21128569.964576,-0.002257,0.002732,-0.004908,-0.008608,0.002651,0.0,0.0,0.0
2025-01-08,PF001,Conservative Income,Conservative,21122161.519234,-0.000303,0.002427,0.000405,-0.008207,-0.000708,0.0,0.0,0.0
2025-01-09,PF001,Conservative Income,Conservative,21169028.216223,0.002219,0.004652,-0.0029,-0.011083,0.005119,0.0,0.0,0.0
2025-01-10,PF001,Conservative Income,Conservative,21120506.436611,-0.002292,0.002349,-0.002202,-0.013261,-9e-05,0.0,0.0,0.0
2025-01-13,PF001,Conservative Income,Conservative,21080801.274386,-0.00188,0.000465,0.002252,-0.011039,-0.004132,0.0,0.0,0.0
2025-01-14,PF001,Conservative Income,Conservative,21073146.790473,-0.000363,0.000101,0.003377,-0.007699,-0.00374,0.0,0.0,0.0
2025-01-15,PF001,Conservative Income,Conservative,21107701.583033,0.00164,0.001741,-0.00079,-0.008483,0.00243,0.0,0.0,0.0
2025-01-16,PF001,Conservative Income,Conservative,21063148.442605,-0.002111,-0.000373,-0.00088,-0.009355,-0.001231,0.0,0.0,0.0
2025-01-17,PF001,Conservative Income,Conservative,21030890.081406,-0.001532,-0.001904,0.00154,-0.00783,-0.003072,0.0,0.0,0.0
2025-01-20,PF001,Conservative Income,Conservative,20940092.223641,-0.004317,-0.006213,0.001321,-0.006519,-0.005638,0.0,0.0,0.0
2025-01-21,PF001,Conservative Income,Conservative,20923543.748158,-0.00079,-0.006999,-0.003242,-0.00974,0.002452,0.0,0.0,0.0
2025-01-22,PF001,Conservative Income,Conservative,20870009.709031,-0.002559,-0.009539,0.006026,-0.003773,-0.008585,0.0,0.0,0.0
2025-01-23,PF001,Conservative Income,Conservative,20929109.327443,0.002832,-0.006735,0.001132,-0.002645,0.0017,0.0,0.0,0.0
2025-01-24,PF001,Conservative Income,Conservative,21037127.044208,0.005161,-0.001608,0.000214,-0.002431,0.004947,0.0,0.0,0.0
2025-01-27,PF001,Conservative Income,Conservative,21104605.318542,0.003208,0.001594,0.001441,-0.000994,0.001767,0.0,0.0,0.0
2025-01-28,PF001,Conservative Income,Conservative,21050305.299563,-0.002573,-0.000983,0.00154,0.000545,-0.004113,0.0,0.0,0.0
2025-01-29,PF001,Conservative Income,Conservative,20976749.940615,-0.003494,-0.004474,-0.00066,-0.000116,-0.002834,0.0,0.0,0.0
2025-01-30,PF001,Conservative Income,Conservative,21001400.420034,0.001175,-0.003304,0.000372,0.000256,0.000803,0.0,0.0,0.0
2025-01-31,PF001,Conservative Income,Conservative,21068076.977168,0.002466,-0.000846,-0.004036,-0.003781,0.006502,14888.81,0.0,14888.81
2025-02-03,PF001,Conservative Income,Conservative,21052879.080348,-0.000721,-0.001567,-2.4e-05,-0.003805,-0.000697,0.0,0.0,0.0
2025-02-04,PF001,Conservative Income,Conservative,21109783.400208,0.002703,0.001132,0.002454,-0.00136,0.000249,0.0,0.0,0.0
2025-02-05,PF001,Conservative Income,Conservative,21172148.549212,0.002954,0.00409,0.004932,0.003565,-0.001978,0.0,0.0,0.0
2025-02-06,PF001,Conservative Income,Conservative,21202462.016149,0.001432,0.005527,0.002444,0.006018,-0.001012,0.0,0.0,0.0
2025-02-07,PF001,Conservative Income,Conservative,21104907.71384,-0.004601,0.000901,0.003146,0.009183,-0.007747,0.0,0.0,0.0
2025-02-10,PF001,Conservative Income,Conservative,21127232.192199,0.001058,0.00196,0.000993,0.010185,6.5e-05,0.0,0.0,0.0
2025-02-11,PF001,Conservative Income,Conservative,21208691.66524,0.003856,0.005823,-0.000241,0.009941,0.004097,0.0,0.0,0.0
2025-02-12,PF001,Conservative Income,Conservative,21240176.579357,0.001485,0.007316,0.003917,0.013897,-0.002432,0.0,0.0,0.0
2025-02-13,PF001,Conservative Income,Conservative,21189183.158576,-0.002401,0.004898,0.003604,0.017551,-0.006005,0.0,0.0,0.0
2025-02-14,PF001,Conservative Income,Conservative,21210786.799549,0.00102,0.005922,0.001553,0.019132,-0.000533,0.0,0.0,0.0
2025-02-17,PF001,Conservative Income,Conservative,21289277.22529,0.0037,0.009645,-0.002495,0.016589,0.006195,0.0,0.0,0.0
2025-02-18,PF001,Conservative Income,Conservative,21334336.191204,0.002117,0.011781,0.002945,0.019583,-0.000828,0.0,0.0,0.0
2025-02-19,PF001,Conservative Income,Conservative,21231537.988846,-0.004818,0.006906,0.008457,0.028205,-0.013275,0.0,0.0,0.0
2025-02-20,PF001,Conservative Income,Conservative,21207549.678207,-0.00113,0.005769,-0.002903,0.025221,0.001773,0.0,0.0,0.0
2025-02-21,PF001,Conservative Income,Conservative,21075089.556508,-0.006246,-0.000513,-0.00225,0.022914,-0.003996,0.0,0.0,0.0
2025-02-24,PF001,Conservative Income,Conservative,21063907.954906,-0.000531,-0.001044,-0.001639,0.021237,0.001108,0.0,0.0,0.0
2025-02-25,PF001,Conservative Income,Conservative,21120953.97254,0.002708,0.001662,0.001392,0.022659,0.001316,0.0,0.0,0.0
2025-02-26,PF001,Conservative Income,Conservative,21083973.900192,-0.001751,-9.2e-05,-0.002984,0.019607,0.001233,0.0,0.0,0.0
2025-02-27,PF001,Conservative Income,Conservative,21177696.023557,0.004445,0.004353,-0.001137,0.018448,0.005582,0.0,0.0,0.0
2025-02-28,PF001,Conservative Income,Conservative,21128837.738103,-0.002928,0.001412,-0.00114,0.017287,-0.001788,14926.74,1772.76,13153.98
2025-03-03,PF001,Conservative Income,Conservative,21122885.599431,-0.000282,0.00113,-0.000656,0.01662,0.000374,0.0,0.0,0.0
