as_of_date,scenario,portfolio_id,portfolio_name,asset_class_id,asset_class_name,shock_pct,stress_impact_cad
2025-12-31,Equity drawdown 15pct,PF001,Conservative Income,AC001,Canadian Equity,-0.15,-472865.17
2025-12-31,Equity drawdown 15pct,PF001,Conservative Income,AC002,US Equity,-0.15,-371273.02
2025-12-31,Equity drawdown 15pct,PF001,Conservative Income,AC003,Global Equity,-0.15,-295590.37
2025-12-31,Equity drawdown 15pct,PF001,Conservative Income,AC004,Canadian Bonds,0.02,150595.29
2025-12-31,Equity drawdown 15pct,PF001,Conservative Income,AC005,Global Bonds,0.02,88285.15
2025-12-31,Equity drawdown 15pct,PF001,Conservative Income,AC006,Real Assets,-0.05,-36069.17
2025-12-31,Equity drawdown 15pct,PF001,Conservative Income,AC007,Cash,0.0,0.0
2025-12-31,Equity drawdown 15pct,PF002,Balanced Growth,AC001,Canadian Equity,-0.15,-1593762.33
2025-12-31,Equity drawdown 15pct,PF002,Balanced Growth,AC002,US Equity,-0.15,-1821992.54
2025-12-31,Equity drawdown 15pct,PF002,Balanced Growth,AC003,Global Equity,-0.15,-1079425.46
2025-12-31,Equity drawdown 15pct,PF002,Balanced Growth,AC004,Canadian Bonds,0.02,182543.6
2025-12-31,Equity drawdown 15pct,PF002,Balanced Growth,AC005,Global Bonds,0.02,97634.99
2025-12-31,Equity drawdown 15pct,PF002,Balanced Growth,AC006,Real Assets,-0.05,-107038.08
2025-12-31,Equity drawdown 15pct,PF002,Balanced Growth,AC007,Cash,0.0,0.0
2025-12-31,Equity drawdown 15pct,PF002,Balanced Growth,AC008,European Equity,-0.15,-334596.01
2025-12-31,Equity drawdown 15pct,PF003,Growth Plus,AC001,Canadian Equity,-0.15,-979216.42
2025-12-31,Equity drawdown 15pct,PF003,Growth Plus,AC002,US Equity,-0.15,-1148177.99
2025-12-31,Equity drawdown 15pct,PF003,Growth Plus,AC003,Global Equity,-0.15,-1033234.92
2025-12-31,Equity drawdown 15pct,PF003,Growth Plus,AC004,Canadian Bonds,0.02,45536.66
2025-12-31,Equity drawdown 15pct,PF003,Growth Plus,AC005,Global Bonds,0.02,30815.96
2025-12-31,Equity drawdown 15pct,PF003,Growth Plus,AC006,Real Assets,-0.05,-64606.52
2025-12-31,Equity drawdown 15pct,PF003,Growth Plus,AC007,Cash,0.0,0.0
2025-12-31,Equity drawdown 15pct,PF003,Growth Plus,AC008,European Equity,-0.15,-168917.04
2025-12-31,Equity drawdown 15pct,PF004,Retirement 2045,AC001,Canadian Equity,-0.15,-1032380.47
