withdrawal_id,date,member_id,portfolio_id,withdrawal_cad
WDR000001,2025-03-31,MEM00018,PF001,3386.35
WDR000002,2025-04-30,MEM00018,PF001,2031.39
WDR000003,2025-09-30,MEM00018,PF001,2314.22
WDR000004,2025-10-31,MEM00018,PF001,2811.89
WDR000005,2025-11-30,MEM00018,PF001,980.01
WDR000006,2025-11-30,MEM00019,PF001,2592.59
WDR000007,2025-12-31,MEM00019,PF001,2662.37
WDR000008,2025-02-28,MEM00022,PF001,1772.76
WDR000009,2025-03-31,MEM00022,PF001,3054.81
WDR000010,2025-08-31,MEM00022,PF001,1141.01
WDR000011,2025-10-31,MEM00022,PF001,3061.68
WDR000012,2025-08-31,MEM00029,PF001,2150.95
WDR000013,2025-10-31,MEM00029,PF001,2022.51
WDR000014,2025-12-31,MEM00029,PF001,1634.16
WDR000015,2025-01-31,MEM00031,PF002,1464.45
WDR000016,2025-11-30,MEM00031,PF002,3499.92
WDR000017,2025-04-30,MEM00032,PF002,3257.44
WDR000018,2025-01-31,MEM00044,PF002,2790.46
WDR000019,2025-03-31,MEM00044,PF002,1831.57
WDR000020,2025-04-30,MEM00044,PF002,1742.84
WDR000021,2025-09-30,MEM00044,PF002,2267.15
WDR000022,2025-11-30,MEM00044,PF002,2789.0
WDR000023,2025-04-30,MEM00061,PF003,2166.17
WDR000024,2025-06-30,MEM00061,PF003,1855.46
WDR000025,2025-11-30,MEM00061,PF003,2435.24
WDR000026,2025-08-31,MEM00079,PF003,963.54
WDR000027,2025-07-31,MEM00090,PF003,967.93
WDR000028,2025-12-31,MEM00090,PF003,3331.59
WDR000029,2025-01-31,MEM00096,PF004,3031.24
WDR000030,2025-05-31,MEM00100,PF004,1654.9
WDR000031,2025-06-30,MEM00100,PF004,3193.65
WDR000032,2025-05-31,MEM00105,PF004,2188.34
WDR000033,2025-06-30,MEM00105,PF004,1634.71
WDR000034,2025-07-31,MEM00105,PF004,954.51
WDR000035,2025-12-31,MEM00105,PF004,2925.34
WDR000036,2025-01-31,MEM00116,PF004,1546.27
WDR000037,2025-03-31,MEM00116,PF004,1621.5
WDR000038,2025-06-30,MEM00116,PF004,2196.39
WDR000039,2025-09-30,MEM00116,PF004,2904.79
WDR000040,2025-10-31,MEM00116,PF004,2082.48
WDR000041,2025-09-30,MEM00119,PF004,3129.67
WDR000042,2025-11-30,MEM00119,PF004,2371.96
WDR000043,2025-03-31,MEM00120,PF004,3308.05
WDR000044,2025-06-30,MEM00120,PF004,2849.48
WDR000045,2025-10-31,MEM00120,PF004,1881.98
WDR000046,2025-11-30,MEM00120,PF004,1079.67
